name,orgnr,omsattning_tkrk,anstallda,ort,branscher,allabolag_url
"Refurnish the World AB",559052-5373,16168,10,"111 57 Stockholm","Arkitekter;Datorer - Kringutrustningar;Designers, formgivare;Postorder/e-handel;Uthyrning;Möbler, inredning, kök- och belysningsutrustning;Detaljhandel;Detaljhandel - annat",https://www.allabolag.se/foretag/refurnish-the-world-ab/stockholm/-/5590525373
"Redeko flowers AB",556318-8613,13906,6,"114 40 Stockholm","Arkitekter;Datorer - Kringutrustningar;Designers, formgivare;Möbler;Uthyrning;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel;Blommor, växter och tillbehör",https://www.allabolag.se/foretag/redeko-flowers-ab/stockholm/-/5563188613
"Recycling Partner RP i Malmö AB",559119-7552,13463,6,"245 34 Staffanstorp","Datorer - Kringutrustningar;Kontorsinredningar;Möbler;Uthyrning;Grossister;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/recycling-partner-rp-i-malm%C3%B6-ab/staffanstorp/-/5591197552
"Recycling Partner RP i Göteborg AB",559233-7702,14569,8,"421 31 Västra Frölunda","Datorer - Kringutrustningar;Kontorsinredningar;Möbler;Uthyrning;Grossister;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/recycling-partner-rp-i-g%C3%B6teborg-ab/v%C3%A4stra-fr%C3%B6lunda/-/5592337702
"ReCarpet AB",559392-0530,10068,2,"135 70 Stockholm","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/recarpet-ab/stockholm/-/5593920530
"RM Jakt AB",559108-2259,11722,2,"957 31 Övertorneå","Postorder/e-handel;Möbler, inredning, kök- och belysningsutrustning;Detaljhandel;Detaljhandel - annat",https://www.allabolag.se/foretag/rm-jakt-ab/%C3%B6vertorne%C3%A5/-/5591082259
"RD Home AB",556632-0882,14548,7,"961 35 Boden","Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Butikshandel -övrigt;Böcker, papper, tidningar och reklamblad;Detaljhandel;Detaljhandel - annat",https://www.allabolag.se/foretag/rd-home-ab/boden/-/5566320882
"RAFZ Cirkulära Interiörer AB",559075-7182,16154,11,"186 97 Brottby","Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/rafz-cirkul%C3%A4ra-interi%C3%B6rer-ab/brottby/-/5590757182
"R.O.O.M. 55 Butiker AB",559325-2041,17774,8,"694 35 Hallsberg","Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/r.o.o.m.-55-butiker-ab/hallsberg/-/5593252041
"Prisvärt i fruängen AB",556892-2115,19146,7,"129 52 Hägersten","Livsmedel;Textilier;Kläder, skor;Konfektion;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel;Detaljhandel - annat",https://www.allabolag.se/foretag/prisv%C3%A4rt-i-fru%C3%A4ngen-ab/h%C3%A4gersten/-/5568922115
"Place2Place AB",559249-7977,11993,5,"271 32 Ystad","Agenturer;Kontorsinredningar;Grossister;Möbler, hushållsartiklar och järnvaror - agentur",https://www.allabolag.se/foretag/place2place-ab/ystad/-/5592497977
"Permia Inredningar AB",559057-2862,16864,8,"822 30 Alfta","Belysningsarmatur - Komponenter;Designers, formgivare;Industridesigners;Grossister",https://www.allabolag.se/foretag/permia-inredningar-ab/alfta/-/5590572862
"Pecarbo Sverige AB",556676-1630,17161,1,"113 27 Stockholm","Arkitekter;Designers, formgivare;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/pecarbo-sverige-ab/stockholm/-/5566761630
"Paulsons Möbler i Hässleholm AB",556047-8868,11937,6,"281 52 Hässleholm","Möbler;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/paulsons-m%C3%B6bler-i-h%C3%A4ssleholm-ab/h%C3%A4ssleholm/-/5560478868
"PK möbler sälj AB",559298-8603,13574,4,"781 70 Borlänge","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/pk-m%C3%B6bler-s%C3%A4lj-ab/borl%C3%A4nge/-/5592988603
"PANKO PROJECTS AB",559513-1805,13843,1,"582 34 Linköping","Arkitekter;Designers, formgivare;Byggmästare;Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/panko-projects-ab/link%C3%B6ping/-/5595131805
"P.I. Göteborg AB",556821-5817,12965,2,"412 51 Göteborg","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/p.i.-g%C3%B6teborg-ab/g%C3%B6teborg/-/5568215817
"Oscar & Clothilde AB",556686-8534,17864,15,"114 53 Stockholm","Belysningsarmatur - Komponenter;Ljudanläggningar, ljusanläggningar, bildanläggningar;Grossister",https://www.allabolag.se/foretag/oscar-clothilde-ab/stockholm/-/5566868534
"Oriva Aktiebolag",556112-4735,13603,4,"333 74 Bredaryd","Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/oriva-aktiebolag/bredaryd/-/5561124735
"Only Design i Bara AB",559016-5550,13734,4,"217 58 Malmö","Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/only-design-i-bara-ab/malm%C3%B6/-/5590165550
"One Up AB",559414-8420,18273,1,"434 40 Kungsbacka","Postorder/e-handel;Möbler, inredning, kök- och belysningsutrustning;Detaljhandel",https://www.allabolag.se/foretag/one-up-ab/kungsbacka/-/5594148420
"Omni-Retail Butiksinredning & Obemannade Butiker AB",559218-4534,11100,3,"333 93 Skeppshult","Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/omni-retail-butiksinredning-obemannade-butiker-ab/skeppshult/-/5592184534
"Olssons i Osby AB",556814-8828,17175,11,"283 31 Osby","Byggmästare;Golvbeläggningar;Mattor;Trävaror;Grossister;Trä och byggvaror - grossist;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/olssons-i-osby-ab/osby/-/5568148828
"Nya Olles Möbelhus AB",556503-4047,10367,5,"818 35 Valbo","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/nya-olles-m%C3%B6belhus-ab/valbo/-/5565034047
"Norrköpings Brasvärme AB",556819-1000,16875,4,"602 23 Norrköping","Byggmästare;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/norrk%C3%B6pings-brasv%C3%A4rme-ab/norrk%C3%B6ping/-/5568191000
"Norgårdens Interiör Aktiebolag",556337-6283,10423,4,"475 40 Hönö","Textilier;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/norg%C3%A5rdens-interi%C3%B6r-aktiebolag/h%C3%B6n%C3%B6/-/5563376283
"Nordisk Köksdesign AB",559257-7679,17901,5,"168 67 Bromma","Järnvaror;Möbler;Butikshandel;Detaljhandel;Virke och byggvaror",https://www.allabolag.se/foretag/nordisk-k%C3%B6ksdesign-ab/bromma/-/5592577679
"Noble Swedish Crystal AB",556296-2844,13207,5,"111 29 Stockholm","Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/noble-swedish-crystal-ab/stockholm/-/5562962844
"Noble House Aktiebolag",556203-9494,11274,6,"116 46 Stockholm","Möbler, inredning, kök- och belysningsutrustning;Reparatörer;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/noble-house-aktiebolag/stockholm/-/5562039494
"Nivoro AB",556376-7622,16133,6,"115 28 Stockholm","Arkitekter;Agenturer;Möbler, hushållsartiklar och järnvaror - agentur;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/nivoro-ab/stockholm/-/5563767622
"Nivito AB",556703-1884,10428,9,"152 42 Södertälje","Belysningsarmatur - Komponenter;Möbler;Grossister;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/nivito-ab/s%C3%B6dert%C3%A4lje/-/5567031884
"Nina B Koncept & Design AB",559070-8292,12462,2,"182 78 Stocksund","Arkitekter;Designers, formgivare;Kakel, klinker;Kontorsinredningar;Grossister;Kakel - tillverkning;Konstnärer;Producenter",https://www.allabolag.se/foretag/nina-b-koncept-design-ab/stocksund/-/5590708292
"Nellca AB",556975-4178,15435,5-9,"177 41 Järfälla","Belysningsarmatur - Komponenter;Elektronik - Systemkomponenter;Elektronik - Tillverkning;Grossister;Producenter",https://www.allabolag.se/foretag/nellca-ab/j%C3%A4rf%C3%A4lla/-/5569754178
"Möbelrondellen Sälj AB",559003-1208,11131,4,"792 50 Mora","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/m%C3%B6belrondellen-s%C3%A4lj-ab/mora/-/5590031208
"Möbelmästarna Byske AB",559336-5363,12500,2,"934 52 Byske","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/m%C3%B6belm%C3%A4starna-byske-ab/byske/-/5593365363
"Möbelkrysset AB",556661-0456,14356,10,"125 30 Älvsjö","Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/m%C3%B6belkrysset-ab/%C3%A4lvsj%C3%B6/-/5566610456
"Möbelkompaniet Olsson & Co Aktiebolag",556064-3289,12865,5,"668 32 Ed","Möbler;Textilier;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/m%C3%B6belkompaniet-olsson-co-aktiebolag/ed/-/5560643289
"Månsbro Kontorscenter AB",556313-1795,14824,6,"151 65 Södertälje","Data - Programvaror;Data- och TV-spel;Datorer;Kontorsmateriel;Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/m%C3%A5nsbro-kontorscenter-ab/s%C3%B6dert%C3%A4lje/-/5563131795
"Mälardalens Möbelhus AB",559320-1022,17871,6,"531 61 Lidköping","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/m%C3%A4lardalens-m%C3%B6belhus-ab/lidk%C3%B6ping/-/5593201022
"Myrins Textil AB",556338-5821,19820,15,"434 95 Kungsbacka","Möbler;Textilier;Producenter;Reparatörer;Textilbehandling;Textilier - Produktion;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/myrins-textil-ab/kungsbacka/-/5563385821
"More Furniture i Varberg Aktiebolag",556665-1138,11889,3,"432 40 Varberg","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/more-furniture-i-varberg-aktiebolag/varberg/-/5566651138
"Moods Studio Kök & Inredningar AB",556894-4986,11606,3,"114 38 Stockholm","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/moods-studio-k%C3%B6k-inredningar-ab/stockholm/-/5568944986
"Mio e-handel AB",556739-3359,17817,0,"543 50 Tibro","Postorder/e-handel;Möbler, inredning, kök- och belysningsutrustning;Detaljhandel",https://www.allabolag.se/foretag/mio-e-handel-ab/tibro/-/5567393359
"Mio Fast Kristianstad AB",556338-2869,12621,2,"025
12 621","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/mio-fast-kristianstad-ab/tibro/-/5563382869
"Mio Fast Dalarna AB",556171-4774,10049,1,"025
10 049","Golvbeläggningar;Mattor;Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/mio-fast-dalarna-ab/tibro/-/5561714774
"Mimou AB",556623-4364,12249,4,"372 31 Ronneby","Agenturer;Textilier;Möbler, hushållsartiklar och järnvaror - agentur;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/mimou-ab/ronneby/-/5566234364
"Mexikanska Monarkin AB",559075-5194,18596,15,"412 54 Göteborg","Catering;Livsmedel;Restauranger;Uthyrning;Livsmedel - tillverkning;Möbler, inredning, kök- och belysningsutrustning;Producenter;Butikshandel;Detaljhandel;Arbetskraftstjänster",https://www.allabolag.se/foretag/mexikanska-monarkin-ab/g%C3%B6teborg/-/5590755194
"Meijers Möbler AB",556869-5695,13610,4,"431 30 Mölndal","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/meijers-m%C3%B6bler-ab/m%C3%B6lndal/-/5568695695
"Mcreta AB",559191-2307,18801,5,"553 03 Jönköping","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/mcreta-ab/j%C3%B6nk%C3%B6ping/-/5591912307
"Mavis Möbler AB",556738-6205,14479,5,"333 33 Smålandsstenar","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/mavis-m%C3%B6bler-ab/sm%C3%A5landsstenar/-/5567386205
"Matthuset i Malmö Aktiebolag",556476-3547,13305,7,"213 75 Malmö","Golvbeläggningar;Mattor;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/matthuset-i-malm%C3%B6-aktiebolag/malm%C3%B6/-/5564763547
"Mattcenter i Handen Försäljnings Aktiebolag",556330-6173,10476,4,"136 47 Haninge","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/mattcenter-i-handen-f%C3%B6rs%C3%A4ljnings-aktiebolag/haninge/-/5563306173
"Mattbolaget Peter Eriksson AB",559411-0610,10343,5,"721 38 Västerås","Belysningsarmatur - Komponenter;Mattor;Grossister",https://www.allabolag.se/foretag/mattbolaget-peter-eriksson-ab/v%C3%A4ster%C3%A5s/-/5594110610
"Matt-Jacob i Järfälla Aktiebolag",556043-6346,11751,6,"175 62 Järfälla","Golvbeläggningar;Mattor;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/matt-jacob-i-j%C3%A4rf%C3%A4lla-aktiebolag/j%C3%A4rf%C3%A4lla/-/5560436346
"Manta North AB",556971-3885,16528,0,"024
16 528","Byggmästare;Möbler;Snickeriarbeten;Trävaror;Producenter;Trävaror - produktion;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/manta-north-ab/stockholm/-/5569713885
"Malmstenbutiken AB",556044-9778,10915,3,"114 46 Stockholm","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/malmstenbutiken-ab/stockholm/-/5560449778
"Majas Cottage AB",556984-2510,17591,10,"235 91 Vellinge","Belysningsarmatur - Komponenter;Postorder/e-handel;Grossister;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel;Detaljhandel - annat",https://www.allabolag.se/foretag/majas-cottage-ab/vellinge/-/5569842510
"Magasinet i Waxholm AB",556284-6161,10928,14,"185 32 Vaxholm","Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/magasinet-i-waxholm-ab/vaxholm/-/5562846161
"MOA Drömhus Aktiebolag",556665-0254,12913,4,"906 40 Umeå","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/moa-dr%C3%B6mhus-aktiebolag/ume%C3%A5/-/5566650254
"MN Butiken AB",556950-6925,16974,6,"692 93 Kumla","Belysningsarmatur - Komponenter;Möbler;Grossister;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/mn-butiken-ab/kumla/-/5569506925
"MM-Ronneby AB",559053-0639,10801,4,"372 91 Ronneby","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/mm-ronneby-ab/ronneby/-/5590530639
"MJF Trading AB",556777-3592,11442,3,"168 67 Bromma","Belysningsarmatur - Komponenter;Fastighetsbolag, lokaler;Elektronik - Systemkomponenter;Hushållsutrustningar, vitvaror;Postorder/e-handel;Möbler;Elektronik - Tillverkning;Hushållsutrustningar, vitvaror - tillverkning;Producenter;Butikshandel;Detaljhandel;Detaljhandel - annat",https://www.allabolag.se/foretag/mjf-trading-ab/bromma/-/5567773592
"Lyxx Trend & Design Ponziani AB",556940-9054,10010,4,"182 31 Danderyd","Möbler;Kläder, skor;Konfektion;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel;Blommor, växter och tillbehör",https://www.allabolag.se/foretag/lyxx-trend-design-ponziani-ab/danderyd/-/5569409054
"Lyckåsen Interiör & Styling AB",559213-1030,16472,4,"517 33 Bollebygd","Möbler;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/lyck%C3%A5sen-interi%C3%B6r-styling-ab/bollebygd/-/5592131030
"Love Forever AB",556778-8475,13789,1-4,"184 40 Åkersberga","Postorder/e-handel;Möbler;Kläder, skor;Konfektion;Skor - detaljister;Butikshandel;Detaljhandel;Virke och byggvaror",https://www.allabolag.se/foretag/love-forever-ab/%C3%A5kersberga/-/5567788475
"Ljushuset KV Kulsprutan Aktiebolag",556514-0331,11382,5,"112 42 Stockholm","Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/ljushuset-kv-kulsprutan-aktiebolag/stockholm/-/5565140331
"Ljusexperten Gert Ohlsson AB",556736-1778,10738,7,"582 73 Linköping","Möbler;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/ljusexperten-gert-ohlsson-ab/link%C3%B6ping/-/5567361778
"LjusExperten Borås AB",556562-0324,13107,6,"504 63 Borås","Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/ljusexperten-bor%C3%A5s-ab/bor%C3%A5s/-/5565620324
"Ljungs i Lerum Aktiebolag",556138-4271,18365,5,"443 30 Lerum","Hushållsmaskiner och apparater, radio, tv, cd och musikinstrument;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/ljungs-i-lerum-aktiebolag/lerum/-/5561384271
"Living Design of Sweden AB",556489-0670,11508,16,"182 76 Stocksund","Arkitekter;Designers, formgivare;Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/living-design-of-sweden-ab/stocksund/-/5564890670
"Lindholms Interiörhuset Aktiebolag",556316-1867,15837,6,"582 73 Linköping","Möbler;Textilier;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/lindholms-interi%C3%B6rhuset-aktiebolag/link%C3%B6ping/-/5563161867
"Lilla Soffbutiken AB",556464-5512,11277,4,"413 10 Göteborg","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/lilla-soffbutiken-ab/g%C3%B6teborg/-/5564645512
"Lilac AB",559050-3636,10378,3,"171 42 Solna","Belysningsarmatur - Komponenter;Livsmedel;Grossister;Butikshandel",https://www.allabolag.se/foretag/lilac-ab/solna/-/5590503636
"Lighting Group Sweden AB",559195-6700,12172,3,"155 35 Nykvarn","Belysningsarmatur - Komponenter;Elmateriel;Maskinförnödenheter;Grossister",https://www.allabolag.se/foretag/lighting-group-sweden-ab/nykvarn/-/5591956700
"Light Energy Saving Sweden AB",556761-2469,10016,3,"416 79 Göteborg","Belysningsarmatur - Komponenter;Elektronik - Systemkomponenter;Elektronik - Tillverkning;Grossister;Producenter",https://www.allabolag.se/foretag/light-energy-saving-sweden-ab/g%C3%B6teborg/-/5567612469
"Lidéns Möbler Aktiebolag",556388-1506,10143,5,"783 30 Säter","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/lid%C3%A9ns-m%C3%B6bler-aktiebolag/s%C3%A4ter/-/5563881506
"Leveriq AB",556233-0950,11584,6,"504 64 Borås","Data - Programvaror;Data- och TV-spel;Datorer;Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/leveriq-ab/bor%C3%A5s/-/5562330950
"LeQThor AB",559105-2435,19683,4,"131 52 Nacka Strand","Postorder/e-handel;Ljudanläggningar, ljusanläggningar, bildanläggningar;Grossister;Möbler, inredning, kök- och belysningsutrustning;Detaljhandel",https://www.allabolag.se/foretag/leqthor-ab/nacka-strand/-/5591052435
"Lars Ericssons Måleri i Hedemora Aktiebolag",556232-4821,13556,11,"776 33 Hedemora","Byggmästare;Färger, lacker, tapeter;Golvbeläggningar;Mattor;Måleriarbeten;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/lars-ericssons-m%C3%A5leri-i-hedemora-aktiebolag/hedemora/-/5562324821
"Landskrona Färgcity Aktiebolag",556280-7379,13055,4,"261 51 Landskrona","Färger, lacker, tapeter;Golvbeläggningar;Mattor;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/landskrona-f%C3%A4rgcity-aktiebolag/landskrona/-/5562807379
"Lampbolaget A. Häggroth Aktiebolag",556250-7110,10023,3,"124 70 Bandhagen","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/lampbolaget-a.-h%C3%A4ggroth-aktiebolag/bandhagen/-/5562507110
"Lakuni Stockholm AB",559465-6687,12725,9,"141 75 Kungens Kurva","Spel, nöjesanläggningsutrustningar;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel;Detaljhandel - annat",https://www.allabolag.se/foretag/lakuni-stockholm-ab/kungens-kurva/-/5594656687
"LP & CM Retail AB",556929-5917,14529,11,"211 46 Malmö","Livsmedel;Grossister;Kaffe och te - agenturer;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/lp-cm-retail-ab/malm%C3%B6/-/5569295917
"LN Webshop AB",559334-9771,17580,3,"311 32 Falkenberg","Postorder/e-handel;Möbler, inredning, kök- och belysningsutrustning;Detaljhandel",https://www.allabolag.se/foretag/ln-webshop-ab/falkenberg/-/5593349771
"LIROC fastigheter AB",559039-9837,10671,3,"793 35 Leksand","Byggmästare;Golvbeläggningar;Mattor;Textilier;Hotell;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/liroc-fastigheter-ab/leksand/-/5590399837
"LHC Sweden AB",556955-4016,16282,2,"703 43 Örebro","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/lhc-sweden-ab/%C3%B6rebro/-/5569554016
