domain,company_name,orgnr,email,phone,contact_page,source,is_webshop,webshop_signals,webshop_debug,debug
,Miljö & Transportaktiebolaget WASAB,556156-7685,,,,,,,,
,El-Telelink Montage i Jönköping Aktiebolag,556150-4415,,,,,,,,
,Lödöse Åkeri Aktiebolag,556127-4084,,,,,,,,
,Bygg-Björk i Anderstorp Aktiebolag,556170-8339,,,,,,,,
,Aktiebolaget Bogetak,556192-8648,,,,,,,,
,Hjorth's Arkiv AB,556194-2821,,,,,,,,
,UGS Upplands Godsservice AB,556175-2212,,,,,,,,
,Sundström & C:o Advokatbyrå AB,556196-6895,,,,,,,,
,BurLink Transport AB,556203-9858,,,,,,,,
,COWI AB,556204-9501,,,,,,,,
,Väst-Montage Aktiebolag,556207-5423,,,,,,,,
,Dynamisk Affärsutveckling Nordic AB,556208-4920,,,,,,,,
,Faktor AB,556084-5744,,,,,,,,
,Tranemo Byggnads Aktiebolag,556065-2702,,,,,,,,
,Aglasjö Bygg och Städ Aktiebolag,556063-0138,,,,,,,,
,Norrbottens Bergtjänst AB,556073-3148,,,,,,,,
,Grafkom Nordic Network AB,556107-2546,,,,,,,,
,Johans Bilfrakt AB,556093-5966,,,,,,,,
,"Eskilstuna Mark & Bygg, EMB AB",556087-0601,,,,,,,,
,Elektro Övik Aktiebolag,556114-3149,,,,,,,,
,Aktiebolaget Påryds Träindustri,556087-6079,,,,,,,,
,Axel Johanssons Åkeri Aktiebolag,556081-5713,,,,,,,,
,Blå Tåget Jernbanor AB,556089-9808,,,,,,,,
,Vattenbyggnadsbyrån Export AB,556079-1336,,,,,,,,
,Aktiebolaget K.G. Lövgrens Bilåkeri,556093-9679,,,,,,,,
,Eltjänst i Ängelholm & Bjäre AB,556105-1862,,,,,,,,
,Väg- och Industribyggnader Aktiebolag,556122-7413,,,,,,,,
,Termino C 15331 AB,556098-7637,,,,,,,,
,People Passion Aktiebolag,556103-5055,,,,,,,,
,Sanson I.B.C. International Aktiebolag,556109-4839,,,,,,,,
,Börjes Logistik & Spedition AB,556142-0430,,,,,,,,
,Bollnäs Busstrafik Aktiebolag,556109-7337,,,,,,,,
,S-bolagen Aktiebolag,556139-3355,,,,,,,,
,Fridhems Entreprenad AB,556118-7344,,,,,,,,
,Helix Fastighetsutveckling AB,556063-2522,,,,,,,,
,Rör- och Svetskonstruktioner Aktiebolag,556064-4402,,,,,,,,
,Jordkullen Aktiebolag,556058-9284,,,,,,,,
,PER NILSSON LEGAL AB,556066-7452,,,,,,,,
,Sjöbergs Revisionsbyrå Aktiebolag,556102-2756,,,,,,,,
,Focus Holding AB,556068-3400,,,,,,,,
,TL Personaluthyrning AB,556074-7825,,,,,,,,
,KMJ Sports AB,556087-6855,,,,,,,,
,Aktiebolaget Göteborgs Golvläggarecentral,556090-2784,,,,,,,,
,Kylteknik i Falköping AB,556085-2518,,,,,,,,
,Jeppes Puts Aktiebolag,556114-5722,,,,,,,,
,Terotec AB,556105-8677,,,,,,,,
,Märsta Förenade Åkeriföretag Aktiebolag,556096-8421,,,,,,,,
,"Z-Konsult, Jonsson & Co Aktiebolag",556127-9307,,,,,,,,
,Bromölla Frakt och Handels Aktiebolag,556130-6951,,,,,,,,
,Byggkonstruktioner i Jönköping/Vätterstad AB,556106-8791,,,,,,,,
,Revisorsringen Eslöv Aktiebolag,556110-0826,,,,,,,,
,Contigo Förvaltnings Aktiebolag,556116-3683,,,,,,,,
,Intermeat Aktiebolag,556123-5614,,,,,,,,
,Söderlunds Grävmaskiner AB,556162-1169,,,,,,,,
,Jonas Gruvris Gräv Aktiebolag,556123-6265,,,,,,,,
,Lanata Konsult AB,556100-6189,,,,,,,,
,Mälardalens Industri och förarutbildning AB,556059-0464,,,,,,,,
,Kalinski Brands & Values AB,556064-5284,,,,,,,,
,Röraktiebolaget Helmer Blomkvist,556085-5669,,,,,,,,
,Morgan Hjorths Elektriska Aktiebolag,556076-1180,,,,,,,,
,FRINAB Tools Aktiebolag,556070-9163,,,,,,,,
,Anlon Resurs & Kompetens AB,556077-4464,,,,,,,,
,Dala Bilfrakt Aktiebolag,556096-2911,,,,,,,,
,Assemblin EL DB AB,556087-6913,,,,,,,,
,IRICON Aktiebolag,556097-2969,,,,,,,,
,Ursula Klang Ekonomi AB,556129-7515,,,,,,,,
,Flygbåtsshopen Aktiebolag,556094-1758,,,,,,,,
,Wahlquist Redovisning & Revision Aktiebolag,556097-3579,,,,,,,,
,Sunds Gård Förvaltning Aktiebolag,556104-6003,,,,,,,,
,Haningetjänst Redovisning AB,556106-2794,,,,,,,,
,Värmeconnect Göteborg AB,556117-5224,,,,,,,,
,Sigurd Anderssons Åkeri Aktiebolag,556131-1969,,,,,,,,
,J-H Plåtslageri Aktiebolag,556117-2098,,,,,,,,
,Arne Kjellsons Åkeri Aktiebolag,556160-8257,,,,,,,,
,Sandå Södermanland AB,556107-0615,,,,,,,,
,Aktiebolaget Örebro Elektro-Lindningar,556048-3421,,,,,,,,
,Aktiebolaget Meteve,556075-5554,,,,,,,,
,Arcona Aktiebolag,556066-3196,,,,,,,,
,Mälby Glas Aktiebolag,556044-3508,,,,,,,,
,Rör-Karlsson Aktiebolag,556068-1925,,,,,,,,
,Traktorfirma Egon Jägerving Aktiebolag,556085-1072,,,,,,,,
,RUM Fastighets Aktiebolag,556066-7585,,,,,,,,
,Lindström Digital AB,556060-5684,,,,,,,,
,Adassa AB,556067-7725,,,,,,,,
,Lindab AB,556068-2022,,,,,,,,
,Nyströms Åkeri Aktiebolag,556088-0410,,,,,,,,
,Klubbhusudden AB,556070-9791,,,,,,,,
,Omnibuslinjen Habo-Hjo Aktiebolag,556094-7953,,,,,,,,
,Kontrollkompaniet i Väst AB,556082-7189,,,,,,,,
,Aktiebolaget Jo-Lu-produkter,556094-8761,,,,,,,,
,Berth Landström Åkeri Aktiebolag,556092-5272,,,,,,,,
,Sundfrakt Aktiebolag,556093-5164,,,,,,,,
,Entreprenad Aktiebolaget Sten Löfberg,556119-0553,,,,,,,,
,Peab Asfalt AB,556098-8122,,,,,,,,
,AddMax AB,556091-7121,,,,,,,,
,Ödsmåls Åkeri Ingvar Johansson Aktiebolag,556091-8095,,,,,,,,
,Volume-Pac Aktiebolag,556129-8026,,,,,,,,
,Andersson & Hultkrantz Transport Aktiebolag,556119-8051,,,,,,,,
,Vallentuna Glasmästeri Aktiebolag,556099-2595,,,,,,,,
,Nyåkers Trafik Aktiebolag,556108-8286,,,,,,,,
,Teknimex Aktiebolag,556118-1800,,,,,,,,
,Myrles Åkeri Aktiebolag,556161-0923,,,,,,,,
,Ederfors Åkeri AB,556132-6017,,,,,,,,
,Aktiebolaget Bröderna Falk Byggnadsställningar Eftr.,556120-6094,,,,,,,,
,Hjortkvarns Energi- & Skogstransport Aktiebolag,556118-4879,,,,,,,,
,Hisingstads Bleck & Plåtslageri Aktiebolag,556118-5710,,,,,,,,
,LBC-Ängstorp Aktiebolag,556111-4652,,,,,,,,
,Trönninge Byggnads Aktiebolag,556108-3972,,,,,,,,
,Tellestams Byggnads AB,556105-5293,,,,,,,,
,Skandrenting AB,556089-8305,,,,,,,,
,Aktiebolaget Borås Rörinstallationer,556032-5507,,,,,,,,
,Eugén Bühler Aktiebolag,556063-1540,,,,,,,,
,Ekonomikonsult Klaes Gidlund AB,556056-1440,,,,,,,,
,A Meaningful Difference AB,556086-6393,,,,,,,,
,Technical Management Consulting i Stenhamra AB,556082-4186,,,,,,,,
,Interflooring Company Aktiebolag,556074-5423,,,,,,,,
,Fyrisvalls Allservice AB,556095-2763,,,,,,,,
,Byggnadsaktiebolaget Axel Andersson & Son,556079-7184,,,,,,,,
,Aktiebolaget KÅ-Spedition,556155-8643,,,,,,,,
,B & L Lund Aktiebolag,556097-8297,,,,,,,,
,Folke Möörth Puts & Murning Aktiebolag,556132-0861,,,,,,,,
,Majornas Lastbilar Aktiebolag,556114-0798,,,,,,,,
,Allan Jönsson Entreprenad Aktiebolag,556148-2307,,,,,,,,
,HMB Betongteknik Aktiebolag,556148-3370,,,,,,,,
,Ingemar Johansson Ingenjörsbyrå Aktiebolag,556117-2692,,,,,,,,
,Aktiebolaget Åke Morell,556137-7226,,,,,,,,
,EL-Light Helge Andersson Aktiebolag,556117-3112,,,,,,,,
,Aktiebolaget Hedmans El-installationer,556126-4549,,,,,,,,
,Ivar Kjellberg Fastighets AB,556101-2419,,,,,,,,
,GÄVLE-Z AB,556101-4571,,,,,,,,
,Hilding Anderssons Åkeri Aktiebolag,556089-5673,,,,,,,,
,Bin-Sell Sverige AB,556056-1465,,,,,,,,
,Abbekås Åkeri Aktiebolag,556055-7620,,,,,,,,
,KPMG AB,556043-4465,,,,,,,,
,Umeå Kommunföretag Aktiebolag,556051-9562,,,,,,,,
,Byggnadsaktiebolaget O.G. Ohlsson,556047-1061,,,,,,,,
,Langå Invest Aktiebolag,556061-5246,,,,,,,,
,Winther Bygg Aktiebolag,556064-2042,,,,,,,,
,Per-Olof Lodin Redovisning AB,556064-3974,,,,,,,,
,Bröderna Sjöbergs Åkeri Aktiebolag,556076-7690,,,,,,,,
,Stockholms Handelskammares Serviceaktiebolag,556095-7952,,,,,,,,
,Unnefors Åkeri Aktiebolag,556080-8627,,,,,,,,
,Milo Åre AB,556068-1305,,,,,,,,
,Eltjänst i Vittinge Aktiebolag,556076-9274,,,,,,,,
,UNIT Arkitektur AB,556094-7615,,,,,,,,
,Klockargårdens Hemslöjd Aktiebolag,556084-0356,,,,,,,,
,Blomdahl & söner AB,556115-1191,,,,,,,,
,Färg och Plastbolaget Golvomarin Aktiebolag,556097-6036,,,,,,,,
,4Run AB,556091-8244,,,,,,,,
,DG Invest i Bromma AB,556099-0532,,,,,,,,
,ÅF-Consult AB,556101-7384,,,,,,,,
,AkkaRECYCLING AB,556098-3214,,,,,,,,
,Boule Buss AB,556105-8867,,,,,,,,
,Walter Hansson El. Aktiebolag,556138-7886,,,,,,,,
,Österskärs Affärs-Aktiebolag,556111-1963,,,,,,,,
,Jämshögs Måleri Aktiebolag,556131-8188,,,,,,,,
,Mörrums Grus AB,556119-7350,,,,,,,,
,Tjurkhults Mark- & Industriservice AB,556117-4102,,,,,,,,
,Råda Elektriska Aktiebolag,556125-9283,,,,,,,,
,MB Scenteknik Magnus Breitholtz Aktiebolag,556121-0088,,,,,,,,
,Bengt Karlssons Åkeri Aktiebolag,556110-6567,,,,,,,,
,CREACON Halmstads Konsultaktiebolag,556094-9934,,,,,,,,
,Aktiebolaget L.O. Håkansson,556061-7846,,,,,,,,
,Aktiebolaget Robert Jönssons Omnibustrafik,556052-1766,,,,,,,,
,HGT Transport Aktiebolag,556052-3937,,,,,,,,
,Wilkon's Aktiebolag,556054-3216,,,,,,,,
,Advokataktiebolaget Nordic Law,556056-5201,,,,,,,,
,Rosengren & Partners Revision Aktiebolag,556070-5211,,,,,,,,
,Treicon Aktiebolag,556061-6301,,,,,,,,
,Landsbro Elektriska Affär Aktiebolag,556067-1389,,,,,,,,
,Frigosentia AB,556103-8349,,,,,,,,
,Aktiebolaget Rivningshus,556071-2522,,,,,,,,
,OF Sörensens AB,556110-8456,,,,,,,,
,SAC Konsult Aktiebolag,556084-0448,,,,,,,,
,Process Advokatbyrå Hillert AB,556084-1487,,,,,,,,
,Adamsson & Boström Konsultaktiebolag,556097-7372,,,,,,,,
,Edmarks Rör Aktiebolag,556091-8384,,,,,,,,
,Visjövalen Aktiebolag,556096-1814,,,,,,,,
,Mittigården AB,556095-8729,,,,,,,,
,Thage Jansson Åkeri Aktiebolag,556106-0566,,,,,,,,
,Aktiebolaget K.J:s Lyftkranar,556141-0951,,,,,,,,
,Skellefteå Miljötransport Aktiebolag,556141-3070,,,,,,,,
,PSS HultsfredsRebellen AB,556112-0253,,,,,,,,
,Olayaselection AB,556145-4108,,,,,,,,
,Perlands Elektriska i Tyresö Aktiebolag,556113-6556,,,,,,,,
,Vellinge Plåt Aktiebolag,556132-3196,,,,,,,,
,AP Form & Hem AB,556123-7065,,,,,,,,
,S.I.F.E.X. - Scandinavian Institute for Foreign Exchange Research Aktiebolag,556123-9459,,,,,,,,
,Karl-Erik Nyström Åkeri Aktiebolag,556132-4707,,,,,,,,
,Sven Dahlqvists Transport Aktiebolag,556121-5285,,,,,,,,
,E-Miren Aktiebolag,556121-5509,,,,,,,,
,Ryléns Transport Aktiebolag,556134-5041,,,,,,,,
,Best Interest International AB,556127-6980,,,,,,,,
,Blicon Förvaltning Aktiebolag,556113-0823,,,,,,,,
,Kleva Kran & Transport AB,556111-1369,,,,,,,,
,Larssons Busstrafik i Främmestad Aktiebolag,556091-4318,,,,,,,,
,Stensbo Ekonomi AB,556131-1043,,,,,,,,
,Hissen Elektro Mekanisk Verkstad Aktiebolag,556101-2955,,,,,,,,
,m4 Utveckling AB,556121-3025,,,,,,,,
,Läkarnas institut för professionell utveckling i sjukvården LIPUS AB,556042-7493,,,,,,,,
,Mollstedt Consulting AB,556037-2194,,,,,,,,
,Marris AB,556052-7797,,,,,,,,
,Svalbovikens Trafikaktiebolag,556046-1146,,,,,,,,
,Paragrafryttaren AB,556077-6832,,,,,,,,
,Luleå Konsult och Försäljnings Aktiebolag,556089-1185,,,,,,,,
,Strömslunds Elektriska Aktiebolag,556082-8641,,,,,,,,
,Aktiebolaget Joel Fläcke,556069-2609,,,,,,,,
,Färjestad BK Akademien AB,556077-9232,,,,,,,,
,LEFAST Aktiebolag,556112-6185,,,,,,,,
,Matfors Installationsbyrå Aktiebolag,556084-4861,,,,,,,,
,Löfs Schakt Aktiebolag,556092-5371,,,,,,,,
,Lundblads Golv AB,556097-4767,,,,,,,,
,Globevalue Sverige AB,556095-8737,,,,,,,,
,Ström & Gulliksson AB,556102-2707,,,,,,,,
,Hansson & Hansson Rör Aktiebolag,556139-3710,,,,,,,,
,Motab Svenska Aktiebolag,556139-3868,,,,,,,,
,Bror Ericson Målerifirma i Uddevalla Aktiebolag,556108-9334,,,,,,,,
,Danas Plåt och Smide Aktiebolag,556110-7508,,,,,,,,
,Berovar Aktiebolag,556126-5876,,,,,,,,
,A. Perssons Elektriska Aktiebolag,556124-3147,,,,,,,,
,BNM Förvaltning AB,556153-0451,,,,,,,,
,Budcentralen i Ulricehamn Aktiebolag,556121-9212,,,,,,,,
,GE Energy (Sweden) AB,556102-9322,,,,,,,,
,Fluren Skog AB,556108-6967,,,,,,,,
,Fredrikssons Glas Aktiebolag,556105-9543,,,,,,,,
,Åreskutan Turistaktiebolag,556111-3944,,,,,,,,
,SpedLog i Värnamo AB,556109-5570,,,,,,,,
,Stoby Måleri AB,556128-9744,,,,,,,,
,A. Börjesson Bygg Aktiebolag,556129-1898,,,,,,,,
,Piteå-Montage Aktiebolag,556123-2454,,,,,,,,
,Elektriska Aktiebolaget All-Ström,556063-0732,,,,,,,,
,Clever Together AB,556070-5138,,,,,,,,
,SJ Götalandståg AB,556083-2098,,,,,,,,
,Zerone Konsult Aktiebolag,556073-1167,,,,,,,,
,"Sandgren & Ström, Ingenjörsbyrå Aktiebolag",556076-0083,,,,,,,,
,KW Ekonomiservice Aktiebolag,556082-7403,,,,,,,,
,Jardlers Åkeri AB,556081-1944,,,,,,,,
,Förvaltnings Aktiebolaget Aranea,556103-8638,,,,,,,,
,Idilator Förvaltning AB,556078-0909,,,,,,,,
,Elektrotekniska Belysningsbyrån i Norden AB,556098-6456,,,,,,,,
,Axelson & Söner Måleri- och Lackeringsverkstad Aktiebolag,556093-7087,,,,,,,,
,Karl Nilssons Måleri Aktiebolag,556113-7372,,,,,,,,
,Växjö Färg & Tapet Aktiebolag,556098-6613,,,,,,,,
,Recon Electronics Aktiebolag,556106-2497,,,,,,,,
,Aktiebolaget Celema,556136-4612,,,,,,,,
,Kenneth Bohlins Snickarbod Aktiebolag,556112-2093,,,,,,,,
,Bogils Aktiebolag,556111-0312,,,,,,,,
,Bilspedition-Transportörer Service Aktiebolag,556157-5449,,,,,,,,
,Folke Gustafssons Åkeri Aktiebolag,556101-7590,,,,,,,,
,Markbiten på Ingarö AB,556139-8388,,,,,,,,
,Giant Valley Holding AB,556140-2289,,,,,,,,
,Alm & Bolin AB,556123-4849,,,,,,,,
,TSL Humanutveckling Aktiebolag,556149-7909,,,,,,,,
,Figure Eight Aktiebolag,556042-2973,,,,,,,,
,Länstrafiken i Västerbotten Aktiebolag,556071-4478,,,,,,,,
,Private in Public AB,556078-4208,,,,,,,,
,Studsvik Nuclear Aktiebolag,556051-6212,,,,,,,,
,Cykelrumse AB,556057-3866,,,,,,,,
,Myrås Elektriska Aktiebolag,556070-5591,,,,,,,,
,Haga Plåt i Umeå AB,556067-2288,,,,,,,,
,Arne Zethzon Vattenanläggningar Aktiebolag,556081-4500,,,,,,,,
,Sten Ferm Transport Aktiebolag,556106-3784,,,,,,,,
,Swefence AB,556079-8786,,,,,,,,
,Byggnads Aktiebolaget Skoga,556086-7920,,,,,,,,
,Adjuvo AB,556101-0991,,,,,,,,
,Gothia Revision AB,556116-5282,,,,,,,,
,Bergs Golv i Långsele Aktiebolag,556090-2735,,,,,,,,
,Bröderna Sjögrens Trafik Aktiebolag,556107-2264,,,,,,,,
,Måleri Projekt Gruppen Skåne AB,556119-2088,,,,,,,,
,Utmelandsgaraget och transport AB,556156-7776,,,,,,,,
,Lundblads Måleri Aktiebolag,556158-2411,,,,,,,,
,Aktiebolaget Falkenbergs Plåtslageri,556121-9170,,,,,,,,
,Bogesunds Rör Aktiebolag,556128-3911,,,,,,,,
,JULIN BOSTADSANPASSNINGAR OCH FRISKVÅRD AB,556157-7692,,,,,,,,
,Jörgen Eklund Advokat AB,556140-8849,,,,,,,,
,Färgelanda Bulktransport AB,556119-4183,,,,,,,,
,ET Halin El AB,556116-6157,,,,,,,,
,Westerlunds Plåtslageri Aktiebolag,556113-7455,,,,,,,,
,Lohk Arkitektkontor Aktiebolag,556130-3149,,,,,,,,
,Elektriska Montagebyrån ingenjör Sven Andersson Aktiebolag,556096-8249,,,,,,,,
,Robin Mannheimer Konsult AB,556146-1822,,,,,,,,
,Bröderna Perssons Bleck- & Plåtslageri AB,556122-9633,,,,,,,,
,Makoson Aktiebolag,556118-2592,,,,,,,,
,Göran Perssons Byggnads Aktiebolag,556124-0960,,,,,,,,
,Stena Rederi Aktiebolag,556057-8360,,,,,,,,
,Bo och Ingalill Sallmander Aktiebolag,556050-9381,,,,,,,,
,Jarenmarks Måleri och Färg Aktiebolag,556064-2026,,,,,,,,
,Glicon AB,556061-0072,,,,,,,,
,Eco-Glas Aktiebolag,556097-7174,,,,,,,,
,E. Wennersten Målerifirma Aktiebolag,556086-7797,,,,,,,,
,Biometrix AB,556084-5033,,,,,,,,
,SÅAB AB,556117-9267,,,,,,,,
,Acanto Redovisning Aktiebolag,556121-0401,,,,,,,,
,Rivners Aktiebolag,556106-0822,,,,,,,,
,B. Sjögren Redovisningsbyrå Aktiebolag,556097-9766,,,,,,,,
,A. Eklunds redovisning i Märsta AB,556123-5044,,,,,,,,
,Redovisningskonsulterna i Sydost AB,556131-7230,,,,,,,,
,Coolax Holding AB,556063-9998,,,,,,,,
,Bergman & Beving Aktiebolag,556034-8590,,,,,,,,
,Miller Graphics Aktiebolag,556045-6468,,,,,,,,
,Financial Capital Investments FinCap Norden AB,556062-0915,,,,,,,,
,Mariefreds Elektrotjänst Aktiebolag,556064-2919,,,,,,,,
,Mölndals Elektriska Aktiebolag,556065-7388,,,,,,,,
,Huddinge-Trångsunds Glasmästerier Aktiebolag,556094-8522,,,,,,,,
,FORIA AB (publ),556069-1684,,,,,,,,
,Thunholms Byggnads Aktiebolag,556070-8009,,,,,,,,
,Stall TageBernhard AB,556072-9229,,,,,,,,
,Byggnadsfirma Lundberg & Carlsson Aktiebolag,556108-0796,,,,,,,,
,"Bergström & Söner, Schakt och Trafik Aktiebolag",556096-6359,,,,,,,,
,Folke Svensson Byggnads Aktiebolag,556084-4630,,,,,,,,
,Donalds Fastighet i HBG AB,556108-0283,,,,,,,,
,Raimos Rörläggnings Aktiebolag,556121-3678,,,,,,,,
,Granlunds Redovisning AB,556127-0173,,,,,,,,
,TransLink Holding AB,556121-6028,,,,,,,,
,Invest i Härnösand Aktiebolag,556127-2633,,,,,,,,
,BKN Mellansvenska Stängsel Aktiebolag,556159-7385,,,,,,,,
,Succéfilm AB,556122-9211,,,,,,,,
,Nemvill Förvaltning AB,556131-8196,,,,,,,,
,Combiteam Competence AB,556117-7709,,,,,,,,
,Magnusson & Söner Stegatorp AB,556098-2935,,,,,,,,
,Sten Erikssons Åkeri Aktiebolag,556138-9379,,,,,,,,
,Huurre Sweden Aktiebolag,556102-4349,,,,,,,,
,Redovisningskonsult Krister Jönsson AB,556106-7975,,,,,,,,
,Varner Retail AB,556116-7213,,,,,,,,
,KRA Invest AB,556117-9077,,,,,,,,
,MP Tele AB,556108-4921,,,,,,,,
,Brämhults Åkeri Aktiebolag,556130-7181,,,,,,,,
,Anläggningsekonomi Aneco Aktiebolag,556124-9839,,,,,,,,
,Aktiebolaget R. A.-Byggen,556056-7827,,,,,,,,
,Martinsons Byggsystem AB,556056-5987,,,,,,,,
,Rörtjänst i Arvika Aktiebolag,556080-2901,,,,,,,,
,Skäret i Hamburgsund Aktiebolag,556083-0415,,,,,,,,
,Vallentuna Förvaltnings Aktiebolag,556080-1531,,,,,,,,
,Deurell Holding AB,556089-9329,,,,,,,,
,Trans-Tellus Transport Aktiebolag,556088-3745,,,,,,,,
,Sura Frakt Aktiebolag,556122-0707,,,,,,,,
,Tenhults Rör Aktiebolag,556106-4980,,,,,,,,
,Hans Wieland Arkitektkontor Aktiebolag,556102-9272,,,,,,,,
,Rörbyggarna i Stockholm AB,556104-4636,,,,,,,,
,Arne Jonssons Åkeriaktiebolag,556113-9261,,,,,,,,
,Gunnar Söderberg Byggnads Aktiebolag,556133-2338,,,,,,,,
,Aktiebolaget Jörlanda Taxi & Buss,556122-5284,,,,,,,,
,Allan Hansons Rörlednings Aktiebolag,556142-1883,,,,,,,,
,Norrtälje Åkeri Aktiebolag,556118-0075,,,,,,,,
,Top Cote AB,556150-4100,,,,,,,,
,Varbergs Revisionsbyrå Aktiebolag,556112-0758,,,,,,,,
,Helena Andersson Redovisning AB,556151-9108,,,,,,,,
,LBC Invest i Karlstad AB (LIKA),556113-3215,,,,,,,,
,Nordlanders Lastmaskiner Aktiebolag,556121-5848,,,,,,,,
,Owe Hansson Byggkonsult och Fastighets Aktiebolag,556114-3834,,,,,,,,
,EB Road Cargo Logistik AB,556112-0782,,,,,,,,
,Skobes Support AB,556043-7039,,,,,,,,
,Alviks Godstransporter AB,556060-5866,,,,,,,,
,Rydéns Buss AB,556069-2047,,,,,,,,
,Högelin revision Aktiebolag,556080-3529,,,,,,,,
,Peab Byggservice Aktiebolag,556066-3675,,,,,,,,
,Nystedts Rörisoleringar AB,556101-1320,,,,,,,,
,Hexagon Solutions AB,556083-1124,,,,,,,,
,J & P Holmbergs Åkeri AB,556071-6549,,,,,,,,
,Sunnerö Arkitekter Aktiebolag,556097-6358,,,,,,,,
,Wepab Plåtmonteringar Aktiebolag,556103-8109,,,,,,,,
,Aktiebolaget Hans Ols Bröd,556091-4722,,,,,,,,
,Datica Aktiebolag,556108-6405,,,,,,,,
,Highbury 1979 AB,556094-9488,,,,,,,,
,Elimexo Aktiebolag,556096-0188,,,,,,,,
,TT-SA Åkeri AB,556099-0193,,,,,,,,
,Zinc Info Norden AB,556106-9492,,,,,,,,
,LZ Holding AB,556108-2560,,,,,,,,
,Blod Svett och Tårar 67 AB,556110-8282,,,,,,,,
,Odin Förvaltningsaktiebolag,556102-9884,,,,,,,,
,Skottorps Åkeri Aktiebolag,556115-1480,,,,,,,,
,Bröderna Torvaldsson AB,556121-1466,,,,,,,,
,Mindius AB,556101-2740,,,,,,,,
,KraftTech Sverige AB,556118-9407,,,,,,,,
,LA EKONOMIKONSULT I VISBY AB,556110-0982,,,,,,,,
,Human Prevent i Mora AB,556150-5842,,,,,,,,
,Rör & Sanitet i Kinna Aktiebolag,556119-9281,,,,,,,,
,Götene Schakt Aktiebolag,556132-4145,,,,,,,,
,Soundright Media AB,556121-3207,,,,,,,,
,Luntyr AB,556133-0373,,,,,,,,
,Tyresö Rör Aktiebolag,556114-5441,,,,,,,,
,Åkes Fjärr- & Lokaltransport Aktiebolag,556120-6144,,,,,,,,
,Tarekon Aktiebolag,556127-8127,,,,,,,,
,CCL Spännarmering AB,556051-7228,,,,,,,,
,Hem & Hus Sundström AB,556075-0787,,,,,,,,
,Aktiebolaget K.G. Karlssons Rörledningsfirma,556092-8680,,,,,,,,
,Högbergs Rör i Borås AB,556059-8186,,,,,,,,
,Sandahlsbolagen Sweden AB,556077-1288,,,,,,,,
,Wästbygg Entreprenad AB,556083-0829,,,,,,,,
,CA Byrån AB,556085-0744,,,,,,,,
,Holje Åkeri AB,556105-0542,,,,,,,,
,Adolfssons Transport Aktiebolag,556108-2198,,,,,,,,
,Hörningsnäs Förvaltning AB,556095-1211,,,,,,,,
,HENRIK SCHULZ Arkitektur & Design AB,556098-9815,,,,,,,,
,Öst Revisionsbyrå Aktiebolag,556092-3384,,,,,,,,
,Byggnadsingenjör APG Isgren AB,556124-2693,,,,,,,,
,Dalfors Åkeri Aktiebolag,556106-6654,,,,,,,,
,Målerifirman Ernst E. Hansson Aktiebolag,556107-1274,,,,,,,,
,Prevestor AB,556102-2632,,,,,,,,
,Göteborgs Fasadputs Aktiebolag,556104-6615,,,,,,,,
,Umgransele Transport Aktiebolag,556106-6225,,,,,,,,
,Byggnadsaktiebolaget Gösta Bengtsson,556108-1869,,,,,,,,
,Roland Caspersson Byggnads- och Konsult Aktiebolag,556112-8462,,,,,,,,
,Aktiebolaget Nordprotekt,556102-8563,,,,,,,,
,Bertran Entreprenad Aktiebolag,556103-0734,,,,,,,,
,LM PETTERSSON AB,556121-8214,,,,,,,,
,Lundbergs Taxi Aktiebolag,556149-5234,,,,,,,,
,Olsson Brothers AB,556119-2658,,,,,,,,
,Storm byggteknik AB,556109-0423,,,,,,,,
,A. Körbergs Åkeri Aktiebolag,556152-8257,,,,,,,,
,VVS-tjänst i Skellefteå Aktiebolag,556114-0194,,,,,,,,
,Clevfors i Väse AB,556112-7357,,,,,,,,
,Åkeri Aktiebolaget Åke Lundin,556129-0601,,,,,,,,
,Philipson Import AB,556046-1765,,,,,,,,
,Aktiebolaget Låscentralen E. Borgström,556070-0618,,,,,,,,
,L L Bowling AB,556064-1226,,,,,,,,
,Grillby & F100 Fastighet och Maskin AB,556060-7326,,,,,,,,
,A.W. Jonaeson Bleck & Plåtslageri Aktiebolag,556066-6389,,,,,,,,
,B. Wahlman Aktiebolag,556087-2847,,,,,,,,
,Ibiza Products in Talamanca AB,556070-3752,,,,,,,,
,Rörmontören i Norrköping Aktiebolag,556104-8132,,,,,,,,
,Björn Jonsons Åkeri Aktiebolag,556122-7223,,,,,,,,
,Sven Hedströms Åkeri Aktiebolag,556104-6789,,,,,,,,
,Alltransport i Götene Aktiebolag,556099-7933,,,,,,,,
,Hifab AB,556125-7881,,,,,,,,
,BoKlok AB,556109-6412,,,,,,,,
,HJ Bygg & Entreprenad AB,556130-6241,,,,,,,,
,Åkarservice Väst AB,556095-8505,,,,,,,,
,Byggnadsfirma Axel Blomster Aktiebolag,556133-7071,,,,,,,,
,Revisionshuset Anette Jensen Aktiebolag,556126-4622,,,,,,,,
,Götheborgs Handelshus AB,556111-4777,,,,,,,,
,Skärgårdsrevision i Stockholm-Roslagen Aktiebolag,556133-2023,,,,,,,,
,Butiksplanerarna Jansson - Sedström AB,556127-2054,,,,,,,,
,Roxale AB,556115-4484,,,,,,,,
,Ingenjörsfirman Percy Andersson Aktiebolag,556115-5275,,,,,,,,
