orgnr,target_url,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,allabolag_url,target_url_source,target_url_confidence,resolve_debug,email,phone,domain,contact_page,source,is_webshop,webshop_signals,webshop_debug,debug,county,municipality,revenue_sek,revenue_year,revenue_tier,in_revenue_band,employees,webshop_platform,product_count_estimate,seo_pages_sampled,seo_avg_title_len,seo_avg_desc_len,seo_missing_meta_desc_pct,seo_missing_h1_pct,seo_duplicate_title_pct,seo_avg_alt_coverage_pct,seo_avg_product_desc_words,seo_jsonld_product_pct,seo_gap_score,uses_clerk_io,clerk_io_evidence,lead_score,lead_reasons
556289-0862,http://www.foretagsspecialisten.se,Företagsspecialisten Gotland AB,Företagsspecialisten Gotland AB,46.5,Reparation av datorer och kringutrustning,Reparation av datorer och kringutrustning; Reparation och underhåll av maskiner; Reparation av kommunikationsutrustning; Partihandel med datorer och kringutrustning samt programvara; samt annan kontorsutrustning,Visby,621 41,Skarphällsgatan 13,,,ACTIVE,,,https://www.allabolag.se/foretag/foretagsspecialisten-gotland-ab/gotland/-/5562890862,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/f%C3%B6retagsspecialisten/visby/apbfiiim | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,,,,,,,,,Gotland,Gotland,15179000,2025,in_band,true,6,,,,,,,,,,,,,,,,
559238-9927,https://www.silverstadens.se,Silverstadens Lux AB,Silverstadens Lux AB,47.8,Reklambyråverksamhet,Reklambyråverksamhet; Detaljhandel med personbilar och lätta motorfordon,Stockholm,113 37,Torsgatan 45,,,ACTIVE,,,https://www.allabolag.se/foretag/silverstadens-lux-ab/stockholm/-/5592389927,ddg,low,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:silverstadens.se(score=14),,,,,,,,,,Stockholm,Stockholm,15177000,2025,in_band,true,1,,,,,,,,,,,,,,,,
559277-7782,https://pierias.se,Pierias AB,Pierias AB,47.2 | 46.3,Detaljhandel med andra livsmedel utom hälsokost,"Detaljhandel med andra livsmedel utom hälsokost; Partihandel med andra livsmedel; Detaljhandel via internet eller postorder med brett sortiment, mest livsmedel, drycker och tobak",Stockholm,111 57,Hötorgshallen 38,,,ACTIVE,,,https://www.allabolag.se/foretag/pierias-ab/stockholm/-/5592777782,ddg,medium,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:pierias.se(score=22),,,,,,,,,,Stockholm,Stockholm,15174000,2024,in_band,true,9,,,,,,,,,,,,,,,,
556495-6331,https://jarlacykel.se,Jarla Cykel & Sport Aktiebolag,Jarla Cykel & Sport Aktiebolag,47.6,Detaljhandel med sport- och fritidsartiklar utom cyklar och båtar,Detaljhandel med sport- och fritidsartiklar utom cyklar och båtar; Detaljhandel med cyklar,Stockholm,114 25,Rådmansgatan 25,,,ACTIVE,,,https://www.allabolag.se/foretag/jarla-cykel-och-sport-aktiebolag/stockholm/-/5564956331,ddg,low,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:jarlacykel.se(score=14),,,,,,,,,,Stockholm,Stockholm,15172000,2024,in_band,true,7,,,,,,,,,,,,,,,,
556806-6087,https://uniprolaptimer.com,Unipro AB,Unipro AB,46.4,Partihandel med textilier,Partihandel med textilier,Varberg,432 46,Skogsgatan 13,,,ACTIVE,,,https://www.allabolag.se/foretag/unipro-ab/varberg/-/5568066087,ddg,medium,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:uniprolaptimer.com(score=20),,,,,,,,,,Halland,Varberg,15169000,2024,in_band,true,2,,,,,,,,,,,,,,,,
559373-0434,https://www.norrwatt.se,NorrWatt AB,NorrWatt AB,46.5,Partihandel med elektronikkomponenter,"Partihandel med elektronikkomponenter; Teknisk konsultverksamhet inom energi-, miljö- och VVS-teknik",Umeå,903 29,Vasagatan 1,,,ACTIVE,,,https://www.allabolag.se/foretag/norrwatt-ab/umea/-/5593730434,ddg,medium,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:norrwatt.se(score=22),,,,,,,,,,Västerbotten,Umeå,15169000,2025,in_band,true,3,,,,,,,,,,,,,,,,
556665-5089,https://www.fentab.nu,Falbygdens Entreprenad AB,Falbygdens Entreprenad AB,46.6,Reparation och underhåll av maskiner,Reparation och underhåll av maskiner; Mark- och grundarbeten; Partihandel med diverse andra maskiner och diverse annan utrustning; Uthyrning och leasing av jordbruksmaskiner och jordbruksredskap,Falköping,521 92,Mönarps Gård 1,,,ACTIVE,,,https://www.allabolag.se/foretag/falbygdens-entreprenad-ab/falkoping/-/5566655089,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/fentab+falbygdens+entreprenad+ab/falk%C3%B6ping/lqrsszhl | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,,,,,,,,,Västra Götaland,Falköping,15167000,2025,in_band,true,6,,,,,,,,,,,,,,,,
556724-3885,https://simplexts.se,SIMPLEX Turbulo System AB,SIMPLEX Turbulo System AB,46.6,Partihandel med diverse andra maskiner och diverse annan utrustning,Partihandel med diverse andra maskiner och diverse annan utrustning; Reparation och underhåll av maskiner; Reparation och underhåll av civila fartyg och båtar,Surte,445 52,Hamnvägen 4,,,ACTIVE,,,https://www.allabolag.se/foretag/simplex-turbulo-system-ab/ale/-/5567243885,ddg,low,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:simplexts.se(score=14),,,,,,,,,,Västra Götaland,Ale,15152000,2025,in_band,true,2,,,,,,,,,,,,,,,,
559247-4497,https://semattor.se,S & E Mattor AB,S & E Mattor AB,47.5 | 46.4,Detaljhandel med mattor och annan vägg- och golvbeklädnad,"Detaljhandel med mattor och annan vägg- och golvbeklädnad; Partihandel med möbler, mattor och belysningsartiklar",Södertälje,151 61,Klockarvägen 114,,,ACTIVE,,,https://www.allabolag.se/foretag/s-och-e-mattor-ab/sodertalje/-/5592474497,ddg,medium,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:12 | ddg_picked:semattor.se(score=22),,,,,,,,,,Stockholm,Södertälje,15145000,2025,in_band,true,4,,,,,,,,,,,,,,,,
559304-4166,https://malaromaskin.se,Mälarö Maskin AB,Mälarö Maskin AB,47.8 | 46.6,"Partihandel med gruv-, bygg- och anläggningsmaskiner","Partihandel med gruv-, bygg- och anläggningsmaskiner; Detaljhandel med personbilar och lätta motorfordon; Allmän service och reparation av motorfordon utom motorcyklar",Ekerö,178 24,Bryggavägen 110 b B3,,,ACTIVE,,,https://www.allabolag.se/foretag/malaro-maskin-ab/ekero/-/5593044166,ddg,medium,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:malaromaskin.se(score=22),,,,,,,,,,Stockholm,Ekerö,15143000,2024,in_band,true,3,,,,,,,,,,,,,,,,
556306-9540,http://www.tsbilservice.com/,Tommy och Sonny Bilservice Aktiebolag,Tommy och Sonny Bilservice Aktiebolag,47.8,Allmän service och reparation av motorfordon utom motorcyklar,Allmän service och reparation av motorfordon utom motorcyklar; Detaljhandel med personbilar och lätta motorfordon,Partille,433 30,Ögärdesvägen 10 b,,,ACTIVE,,,https://www.allabolag.se/foretag/tommy-och-sonny-bilservice-aktiebolag/partille/-/5563069540,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/ts+bilservice/partille/imnqszfcm | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,,,,,,,,,Västra Götaland,Partille,15138000,2024,in_band,true,5,,,,,,,,,,,,,,,,
559257-9535,https://kristianstad.cylex.se,Kristianstad Diesel & Hydraulik AB,Kristianstad Diesel & Hydraulik AB,46.6 | 46.7,Partihandel med diverse andra maskiner och diverse annan utrustning,Partihandel med diverse andra maskiner och diverse annan utrustning; Partihandel med reservdelar och tillbehör till motorfordon,Kristianstad,291 61,Karpalundsvägen 39 k,,,ACTIVE,,,https://www.allabolag.se/foretag/kristianstad-diesel-och-hydraulik-ab/kristianstad/-/5592579535,ddg,low,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:kristianstad.cylex.se(score=14),,,,,,,,,,Skåne,Kristianstad,15131000,2024,in_band,true,6,,,,,,,,,,,,,,,,
559307-5699,https://mdproduktion.se,M&D produktion AB,M&D produktion AB,47.2 | 46.3,Partihandel med andra livsmedel,Partihandel med andra livsmedel; Framställning av diverse övriga livsmedel; Detaljhandel med andra livsmedel utom hälsokost; Restaurangverksamhet; Personaluthyrning,Vällingby,162 50,Krossgatan 25,,,ACTIVE,,,https://www.allabolag.se/foretag/mochd-produktion-ab/stockholm/-/5593075699,ddg,medium,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:mdproduktion.se(score=22),,,,,,,,,,Stockholm,Stockholm,15129000,2025,in_band,true,3,,,,,,,,,,,,,,,,
556270-2190,https://quattrovidcom.com,Quattro Vidcom Aktiebolag,Quattro Vidcom Aktiebolag,46.4,Partihandel med elektriska hushållsmaskiner och -apparater,Partihandel med elektriska hushållsmaskiner och -apparater,Västra Frölunda,421 30,Gruvgatan 11-15,,,ACTIVE,,,https://www.allabolag.se/foretag/quattro-vidcom-aktiebolag/goteborg/-/5562702190,ddg,medium,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:quattrovidcom.com(score=20),,,,,,,,,,Västra Götaland,Göteborg,15116000,2025,in_band,true,5,,,,,,,,,,,,,,,,
559085-4419,http://www.megarep.se,MEGAREP AB,MEGAREP AB,47.8 | 46.7,Allmän service och reparation av motorfordon utom motorcyklar,"Allmän service och reparation av motorfordon utom motorcyklar; Partihandel med lastbilar, bussar och specialfordon; Detaljhandel med personbilar och lätta motorfordon",Malmö,212 18,Södra Bulltoftavägen 2,,,ACTIVE,,,https://www.allabolag.se/foretag/megarep-ab/malmo/-/5590854419,ddg,medium,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:megarep.se(score=22),,,,,,,,,,Skåne,Malmö,15114000,2024,in_band,true,4,,,,,,,,,,,,,,,,
556629-0275,https://jitecmaskin.se,Jitec Maskin AB,Jitec Maskin AB,46.6,"Partihandel med gruv-, bygg- och anläggningsmaskiner","Partihandel med gruv-, bygg- och anläggningsmaskiner; Reparation och underhåll av maskiner; Mark- och grundarbeten",Staffanstorp,245 43,Havrevägen 3,,,ACTIVE,,,https://www.allabolag.se/foretag/jitec-maskin-ab/staffanstorp/-/5566290275,ddg,medium,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:jitecmaskin.se(score=22),,,,,,,,,,Skåne,Staffanstorp,15114000,2025,in_band,true,0,,,,,,,,,,,,,,,,
556577-9757,http://olsangspotatis.se/,Olsängs Potatis AB,Olsängs Potatis AB,46.3,Partihandel med frukt och grönsaker,Partihandel med frukt och grönsaker,Fågelmara,373 78,Olsängsvägen 11,"Bolaget skall bedriva grossisthandel med potatis, grönsaker och ägg ävensom idka därmed förenlig verksamhet.",1999-10-21,ACTIVE,,,https://www.allabolag.se/foretag/olsangs-potatis-ab/karlskrona/-/5565779757,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/ols%C3%A4ngs+potatis+ab/f%C3%A5gelmara/nvxhkgost | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,,olsangspotatis.se,https://olsangspotatis.se,static,no,product_cards,static@https://olsangspotatis.se:productCards(4),,Blekinge,Karlskrona,15110000,2024,in_band,true,4,,,,,,,,,,,,,,,,
556680-0933,https://pulselavage.com,Pulselavage AB,Pulselavage AB,46.4,Partihandel med medicinsk utrustning och apoteksvaror,Partihandel med medicinsk utrustning och apoteksvaror,Knivsta,741 71,Rubanksgatan 8,,,ACTIVE,,,https://www.allabolag.se/foretag/pulselavage-ab/knivsta/-/5566800933,ddg,medium,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:pulselavage.com(score=20),,,,,,,,,,Uppsala,Knivsta,15109000,2025,in_band,true,1,,,,,,,,,,,,,,,,
559016-3829,http://www.smartteknik.nu,SM Smart Teknik AB,SM Smart Teknik AB,46.4,Övrig säkerhetsverksamhet,Övrig säkerhetsverksamhet; Elinstallationer; Partihandel med ljud- och bildanläggningar samt videoutrustning; Annan stödverksamhet avseende konstnärligt skapande och scenkonst; Teknisk konsultverksamhet inom elteknik,Gislaved,332 38,Smålandiagatan 7 c,,,ACTIVE,,,https://www.allabolag.se/foretag/sm-smart-teknik-ab/gislaved/-/5590163829,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/sm+smart+teknik+ab/gislaved/kpxxjcmq | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,,,,,,,,,Jönköping,Gislaved,15107000,2024,in_band,true,10,,,,,,,,,,,,,,,,
559498-8627,https://specialbilar.nu,Specialbilar i Strängnäs AB,Specialbilar i Strängnäs AB,47.8,Detaljhandel med personbilar och lätta motorfordon,Detaljhandel med personbilar och lätta motorfordon,Mariefred,647 30,Rönnbärsvägen 11,,,ACTIVE,,,https://www.allabolag.se/foretag/specialbilar-i-strangnas-ab/strangnas/-/5594988627,ddg,low,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:specialbilar.nu(score=12),,,,,,,,,,Södermanland,Strängnäs,15099000,2025,in_band,true,0,,,,,,,,,,,,,,,,
556612-0407,http://www.lundpac.se/,Lundpac AB,Lundpac AB,46.6,Partihandel med diverse andra maskiner och diverse annan utrustning,Partihandel med diverse andra maskiner och diverse annan utrustning,Göteborg,417 05,Aröds Industriväg 62,,,ACTIVE,,,https://www.allabolag.se/foretag/lundpac-ab/goteborg/-/5566120407,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/lundpac-ab/g%C3%B6teborg/nosxelovb | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,,,,,,,,,Västra Götaland,Göteborg,15090000,2025,in_band,true,3,,,,,,,,,,,,,,,,
556150-0983,https://hacorehabservice.se,HACO Rehabservice AB,HACO Rehabservice AB,46.6,"Tillverkning av cyklar, rullstolar o.d.","Tillverkning av cyklar, rullstolar o.d.; Partihandel med diverse andra maskiner och diverse annan utrustning",Åkersberga,184 40,Sågvägen 35,,,ACTIVE,,,https://www.allabolag.se/foretag/haco-rehabservice-ab/osteraker/-/5561500983,ddg,medium,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:hacorehabservice.se(score=22),,,,,,,,,,Stockholm,Österåker,15088000,2024,in_band,true,5,,,,,,,,,,,,,,,,
556783-8684,http://www.akkelisaudio.com/,Akkelis Audio AB,Akkelis Audio AB,47.4,Detaljhandel med ljud- och bildanläggningar samt videoutrustning,Detaljhandel med ljud- och bildanläggningar samt videoutrustning,Göteborg,415 05,Von Utfallsgatan 1 1tr,"Bolaget ska bedriva försäljning utav HIFI anläggningar med tillbehör, exklusiv rekreationsutrustning och musikutrustning.",2009-06-10,ACTIVE,,,https://www.allabolag.se/foretag/akkelis-audio-ab/goteborg/-/5567838684,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/akkelis+audio+ab/g%C3%B6teborg/aouhgpve | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,,,,,,,,,Västra Götaland,Göteborg,15068000,2025,in_band,true,3,,,,,,,,,,,,,,,,
556715-2052,http://steningekompaniet.se,Steningekompaniet AB,Steningekompaniet AB,47.5 | 47.7,"Detaljhandel med belysningsartiklar, bordsartiklar och hushållsartiklar utom möbler","Detaljhandel med belysningsartiklar, bordsartiklar och hushållsartiklar utom möbler; Detaljhandel med möbler; Detaljhandel med blommor och andra växter, frön och gödselmedel",Märsta,195 59,Steninge Slottsväg 141,"Bolaget ska bedriva detaljhandelsförsäljning av presenter, glas, porslin, paketerat livs, trädgårdsmöbler och försäljning av konst samt därmed förenlig verksamhet.",2006-11-10,ACTIVE,,,https://www.allabolag.se/foretag/steningekompaniet-ab/sigtuna/-/5567152052,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/steningekompaniet+ab/m%C3%A4rsta/llcrzllop | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,,steningekompaniet.se,https://steningekompaniet.se,browser,no,,main@https://www.steningekompaniet.se/:samplingRan(sampled=0),,Stockholm,Sigtuna,15065000,2024,in_band,true,6,,,,,,,,,,,,,,,,
559169-0747,http://www.autolagret.com/,autolagret i Sverige AB,autolagret i Sverige AB,47.8,Detaljhandel med personbilar och lätta motorfordon,Detaljhandel med personbilar och lätta motorfordon,Täby,187 75,Eldarvägen 4 b,,,ACTIVE,,,https://www.allabolag.se/foretag/autolagret-i-sverige-ab/taby/-/5591690747,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/autolagret+i+sverige+ab/t%C3%A4by/ffjgudhkl | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,,,,,,,,,Stockholm,Täby,15051000,2024,in_band,true,1-4,,,,,,,,,,,,,,,,
559074-2184,https://www.svenskwebbtelevision.se,Svensk Webbtelevision AB,Svensk Webbtelevision AB,47.6,"Produktion av film, video och tv-program","Produktion av film, video och tv-program; Detaljhandel via internet eller postorder med böcker; Planering och sändning av tv-program samt distribution av video",Spånga,163 54,Skiljevägen 23,,,ACTIVE,,,https://www.allabolag.se/foretag/svensk-webbtelevision-ab/stockholm/-/5590742184,ddg,medium,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:11 | ddg_picked:svenskwebbtelevision.se(score=22),,,,,,,,,,Stockholm,Stockholm,15048000,2024,in_band,true,6,,,,,,,,,,,,,,,,
556720-9746,https://www.profilar.se/,Profilar AB,Profilar AB,46.9,Icke-specialiserad partihandel,Icke-specialiserad partihandel,Umeå,907 43,Strömpilsplatsen 20 Bv,"Bolaget ska bedriva försäljning av profilprodukter och kontorsmaterial, bedriva handel med tryck- och profilprodukter och bedriva handel med värdepapper, äga och förvalta fastigheter samt därmed förenlig verksamhet.",2007-01-19,ACTIVE,,,https://www.allabolag.se/foretag/profilar-ab/umea/-/5567209746,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/profilar+ab/ume%C3%A5/jgosyingo | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,info@profilar.se,,profilar.se,,,,,,,Västerbotten,Umeå,15043000,2024,in_band,true,6,,,,,,,,,,,,,,,,
556842-9897,https://www.kouzina.se,Kouzina 131 AB,Kouzina 131 AB,46.3,Restaurangverksamhet,Restaurangverksamhet; Cateringverksamhet vid enskilda evenemang; Partihandel med drycker,Stockholm,115 31,Valhallavägen 131,,,ACTIVE,,,https://www.allabolag.se/foretag/kouzina-131-ab/stockholm/-/5568429897,ddg,low,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:kouzina.se(score=14),,,,,,,,,,Stockholm,Stockholm,15040000,2025,in_band,true,14,,,,,,,,,,,,,,,,
556651-7842,https://www.skyltcompaniet.se,SkyltCompaniet i Malmö AB,SkyltCompaniet i Malmö AB,46.4,Tillverkning av belysningsarmatur,Tillverkning av belysningsarmatur; Partihandel med övriga hushållsvaror,Malmö,212 23,Regnvattengatan 1,,,ACTIVE,,,https://www.allabolag.se/foretag/skyltcompaniet-i-malmo-ab/malmo/-/5566517842,ddg,low,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:skyltcompaniet.se(score=14),,,,,,,,,,Skåne,Malmö,15037000,2024,in_band,true,7,,,,,,,,,,,,,,,,
559111-9812,https://ekenbergsauktioner.se,Ekenbergs Auktioner AB,Ekenbergs Auktioner AB,47.9,Detaljhandel med övriga begagnade varor,Detaljhandel med övriga begagnade varor; Förmedling avseende specialiserad detaljhandel; Övrig detaljhandel med brett sortiment,Karlshamn,374 32,Strömmavägen 28,,,ACTIVE,,,https://www.allabolag.se/foretag/ekenbergs-auktioner-ab/karlshamn/-/5591119812,ddg,medium,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:12 | ddg_picked:ekenbergsauktioner.se(score=22),,,,,,,,,,Blekinge,Karlshamn,15031000,2024,in_band,true,12,,,,,,,,,,,,,,,,
556911-5750,https://strangnasbilskrot.se,Strängnäs bil skrot Aktiebolag,Strängnäs bil skrot Aktiebolag,47.8,Partihandel med uttjänta fordon,Partihandel med uttjänta fordon; Detaljhandel med personbilar och lätta motorfordon,Strängnäs,645 47,Malmbyvägen 7,,,ACTIVE,,,https://www.allabolag.se/foretag/strangnas-bil-skrot-aktiebolag/strangnas/-/5569115750,ddg,medium,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:11 | ddg_picked:strangnasbilskrot.se(score=22),,,,,,,,,,Södermanland,Strängnäs,15030000,2024,in_band,true,9,,,,,,,,,,,,,,,,
556298-6785,https://www.stilisti.se,Stilisti Aktiebolag,Stilisti Aktiebolag,46.4,Partihandel med övriga hushållsvaror,Partihandel med övriga hushållsvaror,Stocksund,182 76,Brovägen 9,,,ACTIVE,,,https://www.allabolag.se/foretag/stilisti-aktiebolag/danderyd/-/5562986785,ddg,medium,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:stilisti.se(score=22),,,,,,,,,,Stockholm,Danderyd,15019000,2024,in_band,true,4,,,,,,,,,,,,,,,,
556658-5245,https://sitabgbg.se,SITAB Skepps- & Industri Teknik Aktiebolag,SITAB Skepps- & Industri Teknik Aktiebolag,46.6,Partihandel med diverse andra maskiner och diverse annan utrustning,Partihandel med diverse andra maskiner och diverse annan utrustning,Västra Frölunda,421 30,J a Wettergrens Gata 7,,,ACTIVE,,,https://www.allabolag.se/foretag/sitab-skepps-och-industri-teknik-aktiebolag/goteborg/-/5566585245,ddg,low,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:sitabgbg.se(score=14),,,,,,,,,,Västra Götaland,Göteborg,15016000,2024,in_band,true,1-4,,,,,,,,,,,,,,,,
556417-1501,https://www.ageraab.se,AGERA INDUSTRITILLBEHÖR Aktiebolag,AGERA INDUSTRITILLBEHÖR Aktiebolag,46.1,"Provisionshandel med maskiner, industriell utrustning, fartyg och luftfartyg utom kontorsutrustning och datorer","Provisionshandel med maskiner, industriell utrustning, fartyg och luftfartyg utom kontorsutrustning och datorer",Malmö,215 79,Olsgårdsgatan 13 b,,,ACTIVE,,,https://www.allabolag.se/foretag/agera-industritillbehor-aktiebolag/malmo/-/5564171501,ddg,low,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:ageraab.se(score=14),,,,,,,,,,Skåne,Malmö,15013000,2024,in_band,true,7,,,,,,,,,,,,,,,,
556580-2500,https://mipo.se,MIPO AB,MIPO AB,46.9,"Vägtransport, godstrafik","Vägtransport, godstrafik; Mark- och grundarbeten; Utvinning av sand, grus och berg samt utvinning av lera och kaolin; Icke-specialiserad partihandel",Österfärnebo,811 74,Färnebovägen 852,,,ACTIVE,,,https://www.allabolag.se/foretag/mipo-ab/sandviken/-/5565802500,ddg,medium,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:mipo.se(score=22),,,,,,,,,,Gävleborg,Sandviken,15011000,2025,in_band,true,5,,,,,,,,,,,,,,,,
559155-0206,https://tomelillasfrukt.com,Tomelillas Frukt och Grönt AB,Tomelillas Frukt och Grönt AB,47.2 | 46.2,Detaljhandel med frukt och grönsaker,Detaljhandel med frukt och grönsaker; Partihandel med blommor och växter,Tomelilla,273 35,Industrigatan 2,,,ACTIVE,,,https://www.allabolag.se/foretag/tomelillas-frukt-och-gront-ab/tomelilla/-/5591550206,ddg,low,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:tomelillasfrukt.com(score=12),,,,,,,,,,Skåne,Tomelilla,15007000,2024,in_band,true,3,,,,,,,,,,,,,,,,
556551-3602,https://gilberts-konditori.se,Gilberts Konditori AB,Gilberts Konditori AB,47.2,Tillverkning av mjukt matbröd och färska bakverk,Tillverkning av mjukt matbröd och färska bakverk; Detaljhandel med bröd och konditorivaror; Restaurangverksamhet,Jönköping,554 56,Ekhagsringen 2,,,ACTIVE,,,https://www.allabolag.se/foretag/gilberts-konditori-ab/jonkoping/-/5565513602,ddg,medium,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:gilberts-konditori.se(score=22),,,,,,,,,,Jönköping,Jönköping,4999000,2025,in_band,true,5,,,,,,,,,,,,,,,,
556720-5967,https://sufraco.com,Sufraco - Savon de Marseille AB,Sufraco - Savon de Marseille AB,47.1 | 46.4,Partihandel med kontorsmöbler,Partihandel med kontorsmöbler; Detaljhandel via internet eller postorder med brett sortiment,Åhus,296 35,Pråmdragaregatan 4 b,,,ACTIVE,,,https://www.allabolag.se/foretag/sufraco-savon-de-marseille-ab/kristianstad/-/5567205967,ddg,low,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:sufraco.com(score=12),,,,,,,,,,Skåne,Kristianstad,4998000,2024,in_band,true,3,,,,,,,,,,,,,,,,
