domain,company_name,orgnr,email,phone,contact_page,source,is_webshop,webshop_signals,webshop_debug,debug
fladenfishing.se,Fladen Fishing AB,,,,https://fladenfishing.se,static,yes,checkout_provider; cart; checkout; product_cards; provider:shopify,static@https://fladenfishing.se:hasCheckout(uiPhrase) | static@https://fladenfishing.se:hasCart(urlPath:/cart) | static@https://fladenfishing.se:providers(shopify) | static@https://fladenfishing.se:productCards(40) | DECISION@static@https://fladenfishing.se,
,Torgbacken 18 AB,556464-9472,,,,,,,,
,CB Future AB,556494-8304,,,,,,,,
,Golden Viking Aktiebolag,556467-4207,,,,,,,,
,TV-Spel Huset i Malmö Aktiebolag,556495-4328,,,,,,,,
,J:son Handels Aktiebolag,556224-7998,,,,,,,,
top-speed.se,,,,,https://top-speed.se,browser,no,,,Attempted to use detached Frame '54A3795C9D349C503FA670CF06BECBE4'. | method:browser
,Inter i Lidingö AB,556479-5507,,,,,,,,
,Ba Konstgjuteri AB,556456-4986,,,,,,,,
,Michael och Anette Carlsson Audio Aktiebolag,556477-4593,,,,,,,,
,Fourtex Trading AB,556484-5633,,,,,,,,
,Kolmårdens Byggtjänst AB,556493-6820,,,,,,,,
,Livsbröderna Aktiebolag,556472-6809,,,,,,,,
,Rydéns Service-center Aktiebolag,556418-7994,,,,,,,,
,Alupack Aktiebolag,556480-8136,,,,,,,,
,Ugerups Maskin AB,556478-2224,,,,,,,,
,VerktygsMännen i Stockholm Aktiebolag,556480-9340,,,,,,,,
,Fiskekompaniet i Karlstad AB,556215-0614,,,,,,,,
,PA Nordén o Co AB,556500-5310,,,,,,,,
,Brukets Färg AB,556507-2252,,,,,,,,
gavle.4sign.se,,,,,https://gavle.4sign.se,browser,no,,,Attempted to use detached Frame '54A3795C9D349C503FA670CF06BECBE4'. | method:browser
,Vretmaskin AB,556427-7712,,,,,,,,
,Haninge Project AB,556342-6658,,,,,,,,
nordcell.se,Nordcell & Co AB,556475-0874,markets@nordcell.se,+46 8 662 33 65,https://nordcell.se,static,no,,,
,Fladen Store AB,556468-5203,,,,,,,,
idemode.se,,,,,https://idemode.se,browser,no,,,Attempted to use detached Frame '54A3795C9D349C503FA670CF06BECBE4'. | method:browser
,Tibidao Aktiebolag,556470-6132,,,,,,,,
,Photo Play Stockholm AB,556397-5696,,,,,,,,
,Meiser Sweden AB,556402-2506,,,,,,,,
,Aktiebolaget Lättro Stockholm,556462-5738,,,,,,,,
,Ung Drivkraft i Sverige AB,556464-1719,,,,,,,,
,Bengt Krisandersson Aktiebolag,556415-9779,,,,,,,,
,SA Gruppen AB,556419-3927,,,,,,,,
,Olisystem Aktiebolag,556502-9823,,,,,,,,
,Welch Allyn Sverige Aktiebolag,556505-0134,,,,,,,,
,Jochems & Co AB,556480-2147,,,,,,,,
,Sensor Control Nordic AB,556422-7899,,,,,,,,
eriksbergscykel.se,,,,,https://eriksbergscykel.se,browser,no,,,Attempted to use detached Frame '54A3795C9D349C503FA670CF06BECBE4'. | method:browser
,Nydala Film Aktiebolag,556488-9839,,,,,,,,
,Sanjo Gruppen AB,556491-9230,,,,,,,,
,Hydraulikbyrån Internord Aktiebolag,556220-5681,,,,,,,,
,WilleCenter i Stockholm AB,556230-1969,,,,,,,,
lackdepan.se,,,,,https://lackdepan.se,browser,no,,,Attempted to use detached Frame '54A3795C9D349C503FA670CF06BECBE4'. | method:browser
,ROWATOR AB,556504-3113,,,,,,,,
,AB Podab,556494-3487,,,,,,,,
,Solelit AB,556495-2785,,,,,,,,
,Lars-Åke Karlsson Bil & Skrot Aktiebolag,556506-6296,,,,,,,,
torebrings.se,Torebrings Grossist AB,,info@torebrings.se; service@torebrings.se; carina@torebrings.se,+46 380 478 80; +46 380 478 84; +46 380 478 81,https://torebrings.se,static,yes,cart; checkout,static@https://torebrings.se:hasCheckout(uiPhrase) | static@https://torebrings.se:hasCart(uiPhrase) | DECISION@static@https://torebrings.se,
,Woodlund Enterprises AB,556486-8718,,,,,,,,
,Herrljunga Terrazzo design AB,556240-0738,,,,,,,,
,Hanssons Möbler i Ängelholm AB,556494-5540,,,,,,,,
,Tapetmagasinet i Vetlanda Aktiebolag,556487-8584,,,,,,,,
,Texas Trading AB,556512-7445,,,,,,,,
,Seacon Aktiebolag,556500-9908,,,,,,,,
fbgrecycling.se,,,,,https://fbgrecycling.se,browser,no,,,Attempted to use detached Frame '54A3795C9D349C503FA670CF06BECBE4'. | method:browser
,Servis i Ludvika AB,556512-4129,,,,,,,,
,Live out Life Europe AB,556512-7759,,,,,,,,
,Lamor Design Group Aktiebolag,556513-0522,,,,,,,,
,5.58 Consulting AB,556514-8813,,,,,,,,
,Sockerbageriet i Helsingborg AB,556516-5643,,,,,,,,
,MIT AB,556264-6827,,,,,,,,
,ODTAA International AB,556471-7766,,,,,,,,
danofly.se,,,,,https://danofly.se,browser,no,,,Attempted to use detached Frame '54A3795C9D349C503FA670CF06BECBE4'. | method:browser
,Vamlingbolaget Gotland Aktiebolag,556324-9803,,,,,,,,
,Sweden Property & Shares AB,556483-0320,,,,,,,,
,Great Brands AB,556479-8717,,,,,,,,
,Leg Optiker Branning AB,556501-7984,,,,,,,,
,Gold Design Aktiebolag,556238-6218,,,,,,,,
,Karl G Klinga Elhydraulik Aktiebolag,556493-3165,,,,,,,,
,Sportmarket Nordic Retail AB,556496-4657,,,,,,,,
fargbolaget.nu,Färgbolaget i Torshälla AB,,,,https://fargbolaget.nu,static,no,checkout,static@https://fargbolaget.nu:hasCheckout(uiPhrase),
,Ring Bingo Sweden AB,556503-7115,,,,,,,,
,Yggir Marine Aktiebolag,556513-3278,,,,,,,,
,Forankra AB,556258-0679,,,,,,,,
,Imago Maskin Aktiebolag,556263-2926,,,,,,,,
,Lars Åke Åkerström Aktiebolag,556265-1918,,,,,,,,
,Nulan Export AB,556507-0710,,,,,,,,
,Månsson & Sunvén Bilförmedling Aktiebolag,556509-2219,,,,,,,,
,Träringen Aktiebolag,556473-3581,,,,,,,,
ftb.se,,,,,https://ftb.se,browser,no,,,Attempted to use detached Frame '54A3795C9D349C503FA670CF06BECBE4'. | method:browser
nicatornordic.se,Nicator Nordic AB,,livan@telia.com; susannelenajung@gmail.com,+46 70 642 86 27,https://nicatornordic.se,static,no,,,
,Oejbro Engros AB,556487-4211,,,,,,,,
,VENSO EcoSolutions AB,556460-4527,,,,,,,,
,Lempi Juuso Konfektion Aktiebolag,556477-2670,,,,,,,,
itsdesign.se,Linfalk AB,,kontakt@itsdesign.se,+46 40 02 03 09; +46 13 10 10 05,https://itsdesign.se,static,yes,checkout_provider; cart; checkout; product_cards; priced_cards; provider:klarna,static@https://itsdesign.se:hasCheckout(urlPath:/checkout) | static@https://itsdesign.se:hasCart(uiPhrase) | static@https://itsdesign.se:pricedCards(multiPrices) | static@https://itsdesign.se:providers(klarna) | static@https://itsdesign.se:productCards(125) | DECISION@static@https://itsdesign.se,
isocomponenter.se,,,,,https://isocomponenter.se,browser,no,,,Attempted to use detached Frame '54A3795C9D349C503FA670CF06BECBE4'. | method:browser
,Xerox Financial Services Sverige AB,556490-9462,,,,,,,,
,E. Södergren Livs AB,556499-0728,,,,,,,,
,WOXTUNE AB,556499-3649,,,,,,,,
,Tyst Lekmiljö i Strängnäs AB,556509-7788,,,,,,,,
,Björkelund Fastigheter AB,556499-3904,,,,,,,,
,KRUSO Aktiebolag,556500-4081,,,,,,,,
fargbolagetboras.se,,,,,https://fargbolagetboras.se,browser,no,,,Attempted to use detached Frame '54A3795C9D349C503FA670CF06BECBE4'. | method:browser
,Stockholm City Kött och Fisk AB,556517-1534,,,,,,,,
,DigitalBlue Sweden AB,556497-6982,,,,,,,,
coloramakalmar.se,,,,,https://coloramakalmar.se,browser,no,,,Attempted to use detached Frame '54A3795C9D349C503FA670CF06BECBE4'. | method:browser
,Nordisk Processteknik NPT AB,556513-5349,,,,,,,,
,Servwell AB,556514-2667,,,,,,,,
,Fyrklövern Scandinavia AB,556529-6737,,,,,,,,
,Söderberg Kassar o Påsar Aktiebolag,556482-2848,,,,,,,,
,Möblia Trading AB,556489-5331,,,,,,,,
naxosdirect.se,,,,,https://naxosdirect.se,browser,no,,,Attempted to use detached Frame '54A3795C9D349C503FA670CF06BECBE4'. | method:browser
,Rönnquist & Co Aktiebolag,556487-2058,,,,,,,,
,Framnäs Bygg- och Förvaltning AB,556491-1666,,,,,,,,
clubshop.se,,,,,https://clubshop.se,browser,no,,,Attempted to use detached Frame '54A3795C9D349C503FA670CF06BECBE4'. | method:browser
,Bergs Restaurang AB,556503-3148,,,,,,,,
,Karamello Sverige Aktiebolag,556495-6133,,,,,,,,
,1space AB,556503-9343,,,,,,,,
,AB Dogman,556493-9519,,,,,,,,
direkten.se,,,info@direkten.se; baronen@direkten.se; annedal@direkten.se,,https://direkten.se/om-oss,browser,no,,main@https://direkten.se/:samplingRan(sampled=0),
,Bångbro Strip Steel AB,556501-2696,,,,,,,,
lastpall.com,,,,,https://lastpall.com,browser,no,,,Attempted to use detached Frame '54A3795C9D349C503FA670CF06BECBE4'. | method:browser
,GST LOG AB,556258-8409,,,,,,,,
,HTB Invest Aktiebolag,556262-2364,,,,,,,,
,Scandinavian Night Vision Aktiebolag,556263-5499,,,,,,,,
,MARME AB,556530-2964,,,,,,,,
seochsynas.se,,,,,https://seochsynas.se,browser,no,,,Attempted to use detached Frame '54A3795C9D349C503FA670CF06BECBE4'. | method:browser
,World Wide Wheel BLE AB,556519-5897,,,,,,,,
,LAN-System i Norrköping AB,556520-9268,,,,,,,,
lovasantik.se,,,,,https://lovasantik.se,browser,no,,,Attempted to use detached Frame '54A3795C9D349C503FA670CF06BECBE4'. | method:browser
,Lester AB,556482-8365,,,,,,,,
,Lab Vision Aktiebolag,556487-2884,,,,,,,,
,Sveeri Invest AB,556489-6065,,,,,,,,
,SWEED Björn Höjrup Aktiebolag,556468-0147,,,,,,,,
,Adapt Comfort Aktiebolag,556475-0957,,,,,,,,
,Evo Invest AB,556494-5268,,,,,,,,
,Letec Aktiebolag,556473-6923,,,,,,,,
,Wärtsilä Voyage Sweden AB,556489-2866,,,,,,,,
,TME Export AB,556484-0329,,,,,,,,
,Färgkompaniet i THN AB,556481-9067,,,,,,,,
,Lixart Aktiebolag,556490-6179,,,,,,,,
,PROTOMA Professional Technology of Maintenance Aktiebolag,556494-7231,,,,,,,,
,Konditori Stjärnan AB,556248-1910,,,,,,,,
,Presentationsdata Försäljning i Sverige AB,556506-1586,,,,,,,,
,Mingla Woman i Finspång AB,556507-7814,,,,,,,,
,Ink Label Group AB,556515-7947,,,,,,,,
,Magasinet i Romberga AB,556516-2574,,,,,,,,
,Mias Färg & Miljö AB,556516-5452,,,,,,,,
batterigrossisten.com,,,,,https://batterigrossisten.com,browser,no,,,Attempted to use detached Frame '54A3795C9D349C503FA670CF06BECBE4'. | method:browser
,Nobelius Elektronik o Data Aktiebolag,556517-5071,,,,,,,,
,Antikvariat Bibliomanen Aktiebolag,556265-3286,,,,,,,,
,Koaro Aktiebolag,556472-0570,,,,,,,,
,JB Recycling Aktiebolag,556477-6044,,,,,,,,
,Ögon-Center Karlstad Aktiebolag,556480-1560,,,,,,,,
,EVA MARIE PÄLS Aktiebolag,556460-9138,,,,,,,,
,JH InfoTech Aktiebolag,556494-7413,,,,,,,,
,FiFo Traktordelar Aktiebolag,556491-4025,,,,,,,,
,Dotetorps Ägg Aktiebolag,556491-4298,,,,,,,,
,Maskinaktiebolaget XML i Kil,556478-3966,,,,,,,,
,Motorcity Sydsvenska Aktiebolag,556492-6433,,,,,,,,
,Shepherd of Sweden AB,556236-2508,,,,,,,,
,LUMITECH Belysning AB,556242-3656,,,,,,,,
,Blåkullen E o F AB,556505-0407,,,,,,,,
,Safetech IPS Aktiebolag,556492-5195,,,,,,,,
,Specialistbygg Max G. AB,556501-9295,,,,,,,,
,Micke Malmberg Konsult Aktiebolag,556255-0789,,,,,,,,
,GREDAB Ventilation AB,556499-8556,,,,,,,,
,Skigo AB,556518-9379,,,,,,,,
,Baltring Aktiebolag,556497-9739,,,,,,,,
,Azlan Scandinavia Aktiebolag,556514-7559,,,,,,,,
,Severins Möbler i Jönköping Aktiebolag,556260-5914,,,,,,,,
,IdéKompaniet Redving & Karlqvist Aktiebolag,556518-8462,,,,,,,,
,T-Tech Scandinavia AB,556520-7544,,,,,,,,
,Reinhed Livs Aktiebolag,556521-4219,,,,,,,,
,Kandy'z AB,556509-3902,,,,,,,,
,Noble Art AB,556522-4150,,,,,,,,
,MatTeam L Johansson AB,556521-8434,,,,,,,,
,Multico Europe Aktiebolag,556487-9319,,,,,,,,
,Sigva AB,556484-7290,,,,,,,,
,Xcaret Invest AB,556471-1173,,,,,,,,
,Hörnefors Vägkrog & Trafikbutik AB,556472-4929,,,,,,,,
,Wimex Trade Aktiebolag,556494-7926,,,,,,,,
,Eliasson Music Production Aktiebolag,556478-6357,,,,,,,,
,T-Tech Aktiebolag,556484-3828,,,,,,,,
,GMTT i Skellefteå AB,556497-6842,,,,,,,,
,Karl Lindholm Invest Aktiebolag,556494-8510,,,,,,,,
,Annell Holding AB,556490-0214,,,,,,,,
,Getinge Sverige Aktiebolag,556509-9511,,,,,,,,
,Giveto Reklamartiklar AB,556249-9995,,,,,,,,
,Bageriprodukter Stockholm Aktiebolag,556255-2314,,,,,,,,
,Pastellen Aktiebolag,556264-2925,,,,,,,,
,Wash A Car Skåne AB,556521-9911,,,,,,,,
,Cassels i Kungsbacka AB,556512-5670,,,,,,,,
,Aneby Livs Aktiebolag,556269-6327,,,,,,,,
,Mattshopen Lars Bruhno Aktiebolag,556472-3715,,,,,,,,
elit.se,Elit Instrument AB,,order@elit.se,+46 8 92 08 30,https://elit.se,static,no,checkout_provider; product_cards; provider:woocommerce,static@https://elit.se:providers(woocommerce) | static@https://elit.se:productCards(9),
,Nordisk Bageriteknik Aktiebolag,556478-0103,,,,,,,,
,Älvsjöhallen Aktiebolag,556492-3935,,,,,,,,
,Wermlandsmöbler Aktiebolag,556484-8504,,,,,,,,
,Lindahls Bageri Ingelsta Aktiebolag,556480-5090,,,,,,,,
,Brovi Aktiebolag,556472-6353,,,,,,,,
,T C Whitmore Aktiebolag,556476-6151,,,,,,,,
,Köp och Sälj Mariefred AB,556482-1675,,,,,,,,
,Data & Media Trading Syd ost Aktiebolag,556491-8687,,,,,,,,
,Tore Nilssons Maskin & Fastighet Aktiebolag,556501-5590,,,,,,,,
,Färghörnan Huskvarna Aktiebolag,556496-5001,,,,,,,,
,Tollco Aktiebolag,556499-9620,,,,,,,,
,TAVESTA Fastigheter Aktiebolag,556506-0323,,,,,,,,
,Richard Svensson Agenturer AB,556509-2805,,,,,,,,
,All Reason Aktiebolag,556512-9508,,,,,,,,
,Sörbyhallen AB,556518-9148,,,,,,,,
,Inredningshuset i Östersund AB,556522-2584,,,,,,,,
,GPS Marinkonsult Aktiebolag,556510-4303,,,,,,,,
,Uni-Trade i Falkenberg Aktiebolag,556523-6899,,,,,,,,
,Gadelius Europe Aktiebolag,556531-2054,,,,,,,,
,Warolins Maskin Aktiebolag,556500-6938,,,,,,,,
,Maskin Innovatörerna i Carlshamn AB,556323-2916,,,,,,,,
,Myshkin Aktiebolag,556482-8241,,,,,,,,
,Waters Sverige Aktiebolag,556485-5657,,,,,,,,
hollvikencykel.se,,,,,https://hollvikencykel.se,browser,no,,,Attempted to use detached Frame '54A3795C9D349C503FA670CF06BECBE4'. | method:browser
,Hemtextil vid Nissan Aktiebolag,556489-9309,,,,,,,,
mobelmastarna.se,,,,,https://mobelmastarna.se,browser,no,,,Attempted to use detached Frame '54A3795C9D349C503FA670CF06BECBE4'. | method:browser
,Tor-Center AB,556493-3322,,,,,,,,
,Scandinox Group AB,556495-9814,,,,,,,,
,Alex Finans Aktiebolag,556481-4225,,,,,,,,
,Storgärdets Fastighets AB,556492-7563,,,,,,,,
,Korgcenter AB,556497-6016,,,,,,,,
,City Maritime Butiks Aktiebolag,556496-6348,,,,,,,,
,Aroma Creative i Linköping Aktiebolag,556503-5168,,,,,,,,
,J A Management Aktiebolag,556509-0353,,,,,,,,
,Dala Gospelcenter AB,556513-6248,,,,,,,,
,Sandlunds Musik Aktiebolag,556509-5758,,,,,,,,
,Jan Manthey Livs Aktiebolag,556511-8105,,,,,,,,
,Airstop AB,556518-9502,,,,,,,,
,Aktiebolaget Robert Haglund Eftr Textil Inredningar,556270-4808,,,,,,,,
,Artic Sound Aktiebolag,556513-1348,,,,,,,,
,Imip AB,556517-5170,,,,,,,,
,Makaha Trading & Consulting AB,556321-4757,,,,,,,,
,Johan Högberg Holding AB,556476-1517,,,,,,,,
,Auktionsfirman Lloyd Eriksson i Virserum Aktiebolag,556476-3000,,,,,,,,
,KEFLY Enterprise Aktiebolag,556480-4234,,,,,,,,
,Lås & Larmspecialisten AT Aktiebolag,556482-9033,,,,,,,,
,Propump Aktiebolag,556493-2860,,,,,,,,
,Össur Nordic AB,556483-4173,,,,,,,,
,McCain Foods Sweden Aktiebolag,556469-4122,,,,,,,,
,Gamleby Recycling AB,556493-3538,,,,,,,,
,Kvibergs Marknad Aktiebolag,556483-2508,,,,,,,,
,Roslagsstoppet Handel AB,556509-0940,,,,,,,,
,X-Traköp i Jönköping AB,556493-0450,,,,,,,,
,Ulvängen Holding Aktiebolag,556241-7856,,,,,,,,
,Bjärreds Livs Aktiebolag,556492-6086,,,,,,,,
,Hi-Lo Electronics AB,556499-1510,,,,,,,,
,Nordic Wonder AB,556266-1032,,,,,,,,
,Privitera Holding AB,556511-8147,,,,,,,,
,Ellinors Blomsterstuga AB,556523-8200,,,,,,,,
,Kontor Ett brm Aktiebolag,556504-6462,,,,,,,,
,Almö Livs Tjörn Aktiebolag,556311-1243,,,,,,,,
,Sandstens Fiskhandel Aktiebolag,556313-4567,,,,,,,,
,Båstad Förpackning AB,556474-4810,,,,,,,,
,Bell Promotion Aktiebolag,556468-4164,,,,,,,,
,Kontorsspecial Data i Vetlanda Aktiebolag,556468-7209,,,,,,,,
,Nordagentur i Lövånger Aktiebolag,556485-2969,,,,,,,,
,AoR Yttergrens Service AB,556475-6699,,,,,,,,
,RiBo Fastighet AB,556487-2595,,,,,,,,
thorssells.com,,,,,https://thorssells.com,browser,no,,,Attempted to use detached Frame '54A3795C9D349C503FA670CF06BECBE4'. | method:browser
,Fröviskroten Aktiebolag,556480-3376,,,,,,,,
,Skandinaviska Trä och Stålprodukter Aktiebolag,556503-7164,,,,,,,,
,Alingsås Data Konsult Aktiebolag,556507-7970,,,,,,,,
,Dynasty Pacific Aktiebolag,556490-8506,,,,,,,,
,Åkrahallen Aktiebolag,556500-1608,,,,,,,,
,Briljant Ekonomisystem Stockholm Aktiebolag,556511-6885,,,,,,,,
,HITAB - Hans Ireståhl Trading AB,556509-6871,,,,,,,,
,Euro Pacific i Roslagen Aktiebolag,556502-3099,,,,,,,,
,Jonsons Elektriska i Tibro AB,556505-2122,,,,,,,,
venatio.se,Venatio AB,556486-4097,,,https://venatio.se,static,yes,checkout_provider; cart; checkout; provider:shopify,static@https://venatio.se:hasCheckout(uiPhrase) | static@https://venatio.se:hasCart(urlPath:/cart) | static@https://venatio.se:providers(shopify) | DECISION@static@https://venatio.se,
,Madopy Aktiebolag,556485-9055,,,,,,,,
,Aura Light International AB,556491-1088,,,,,,,,
,Sobh Sweden Aktiebolag,556493-4288,,,,,,,,
bjornsfiskeojakt.se,,,,,https://bjornsfiskeojakt.se,browser,no,,,Attempted to use detached Frame '54A3795C9D349C503FA670CF06BECBE4'. | method:browser
,Invaris Aktiebolag,556488-9466,,,,,,,,
,Inge Nilssons Vilthandel Aktiebolag,556260-8439,,,,,,,,
alustep.se,,,,,https://alustep.se,browser,no,,,Attempted to use detached Frame '54A3795C9D349C503FA670CF06BECBE4'. | method:browser
hundakademin.se,,,,,https://hundakademin.se,browser,no,,,Attempted to use detached Frame '54A3795C9D349C503FA670CF06BECBE4'. | method:browser
,Hjemgård & Son Aktiebolag,556498-8318,,,,,,,,
tvattex.se,Tvättex AB,556217-2741,ekonomi@foretag.se,+46 20 81 81 81; +46 31 81 43 00,https://tvattex.se,static,yes,cart; checkout; product_cards,static@https://tvattex.se:hasCheckout(uiPhrase) | static@https://tvattex.se:hasCart(uiPhrase) | static@https://tvattex.se:productCards(26) | DECISION@static@https://tvattex.se,
,Swedpig AB,556276-3028,,,,,,,,
,V8-Shopen Karlstad Aktiebolag,556504-2453,,,,,,,,
,Nordonica AB,556526-7035,,,,,,,,
,Tossmet Aktiebolag,556477-8883,,,,,,,,
,Östholms Industri & Försäljning Aktiebolag,556474-6658,,,,,,,,
,P&B Electronic Aktiebolag,556322-1299,,,,,,,,
,Swecool Aktiebolag,556484-3869,,,,,,,,
,Gippersta Trading AB,556327-7192,,,,,,,,
,Skeppsbron Handelshus i Åhus Aktiebolag,556467-6947,,,,,,,,
,Montana Sweden Aktiebolag,556498-6718,,,,,,,,
,Solfilmsgruppen Norden AB,556501-3504,,,,,,,,
,Fjällbacken Livs AB,556487-2868,,,,,,,,
,Tilab Brandskydd i Tidaholm Aktiebolag,556233-3566,,,,,,,,
ica.se,,556582-1559; 556021-0261,kundservice@ica.se,+46 8 561 500 00; +46 33 47 47 90; +46 33 47 47 94,https://www.ica.se/kontakt,browser,no,,main@https://www.ica.se/:samplingRan(sampled=0),
,Roggentin & Falk Gardiner Aktiebolag,556506-1297,,,,,,,,
,Medicast Aktiebolag,556237-8546,,,,,,,,
windowsdesign.se,,,,,https://windowsdesign.se,browser,no,,,Attempted to use detached Frame '54A3795C9D349C503FA670CF06BECBE4'. | method:browser
,S.M.L Bröderna AB,556508-8969,,,,,,,,
danox.se,,,,,https://danox.se,browser,no,,,Attempted to use detached Frame '54A3795C9D349C503FA670CF06BECBE4'. | method:browser
,Oksebra Trading Aktiebolag,556499-3961,,,,,,,,
,Pro Swede Golf Aktiebolag,556501-8727,,,,,,,,
,TORNAVISTOR AB,556274-8706,,,,,,,,
,Beckerville Music Aktiebolag,556526-5807,,,,,,,,
,Leanda Aktiebolag,556514-4119,,,,,,,,
,La Maison Afrique Fair Trade AB,556526-3232,,,,,,,,
,Detec Kötteknik AB,556527-1151,,,,,,,,
,Berga Maskin Aktiebolag,556504-2784,,,,,,,,
,Nevo Maskin AB,556505-5158,,,,,,,,
,Scandinavian Hub AB,556472-9977,,,,,,,,
,Input interiör Öst Aktiebolag,556319-5030,,,,,,,,
,Stilia Svenska Aktiebolag,556324-5181,,,,,,,,
,Optima International Aktiebolag,556483-9610,,,,,,,,
,Hugo Carlsson Herr i Karlstad Aktiebolag,556483-9735,,,,,,,,
,KaramellLagret i Kristinehamn Aktiebolag,556486-5060,,,,,,,,
,Cronholm & Magnusson Teknik Aktiebolag,556466-8357,,,,,,,,
lrworld.com,,,,,https://lrworld.com,browser,no,,,Attempted to use detached Frame '54A3795C9D349C503FA670CF06BECBE4'. | method:browser
,Ellancé Aktiebolag,556477-1920,,,,,,,,
,Rune Fondells Bil & Maskin AB,556479-0417,,,,,,,,
,Tommy Svahns Livs AB,556500-6839,,,,,,,,
,Balmid Hair AB,556500-9528,,,,,,,,
,Femmans Bygg Eftr Aktiebolag,556503-3338,,,,,,,,
euronics.se,Euronics AB,556153-7340,info@euronics.se,,https://euronics.se,static,no,,,
,Stig Helmer Aktiebolag,556499-8184,,,,,,,,
,SECITS Sweden AB,556524-9546,,,,,,,,
londonw8.se,,,,,https://londonw8.se,browser,no,,,Attempted to use detached Frame '54A3795C9D349C503FA670CF06BECBE4'. | method:browser
,Minivent Aktiebolag,556507-1346,,,,,,,,
s-i-t.se,,,,,https://s-i-t.se,browser,no,,,Attempted to use detached Frame '54A3795C9D349C503FA670CF06BECBE4'. | method:browser
,Dedicated Sweden AB,556509-4538,,,,,,,,
creopack.se,,,,,https://creopack.se,browser,no,,,Attempted to use detached Frame '54A3795C9D349C503FA670CF06BECBE4'. | method:browser
,Harry Hansson Marincentrum Aktiebolag,556322-8047,,,,,,,,
,Oxelösunds Båt & Motor AB,556479-1647,,,,,,,,
,Göranssons Specerier Aktiebolag,556489-1629,,,,,,,,
,Ohlsson & Wahlkvist Service Aktiebolag,556467-0064,,,,,,,,
,Byggjansson Byggservice AB,556467-8398,,,,,,,,
,Abema Group AB,556490-5627,,,,,,,,
bjurkellbil.se,,,,,https://bjurkellbil.se,browser,no,,,Attempted to use detached Frame '54A3795C9D349C503FA670CF06BECBE4'. | method:browser
eftech.se,,,,,https://eftech.se,browser,no,,,Attempted to use detached Frame '54A3795C9D349C503FA670CF06BECBE4'. | method:browser
profilic.eu,,,,,https://profilic.eu,browser,no,,,Attempted to use detached Frame '54A3795C9D349C503FA670CF06BECBE4'. | method:browser
,A-C Johansson i Umeå AB,556496-2412,,,,,,,,
,EGE - Specialsensorer AB,556505-4003,,,,,,,,
,Smink och Perukmakaren Söder AB,556508-1220,,,,,,,,
,Carrier Aktiebolag,556243-9512,,,,,,,,
,XTZ Group Aktiebolag,556504-4947,,,,,,,,
,Bröderna Thörnbergs Livs AB,556502-2042,,,,,,,,
,Färghallen i Hällefors AB,556500-8900,,,,,,,,
,InConX AB,556526-8363,,,,,,,,
gibon.se,,,,,https://gibon.se,browser,no,,,Attempted to use detached Frame '54A3795C9D349C503FA670CF06BECBE4'. | method:browser
,Outlet of Brands Kungsbacka AB,556504-2081,,,,,,,,
facebook.com,,,dev7561@gmail.com; kundansvarig@studioexpress.se,,https://www.facebook.com/kundtjanst,browser,yes,checkout_provider; checkout; provider:adyen,main@https://www.facebook.com/:samplingRan(sampled=0) | contact_like@https://www.meta.com/en-gb/about/?utm_source=about.facebook.com&utm_medium=redirect:hasCheckout(urlPath:/order) | contact_like@https://www.meta.com/en-gb/about/?utm_source=about.facebook.com&utm_medium=redirect:providers(adyen) | DECISION@contact_like@https://www.meta.com/en-gb/about/?utm_source=about.facebook.com&utm_medium=redirect,
,Boutique Drottninggatan 47 i Karlshamn AB,556521-4516,,,,,,,,
,Bestgiftspromo i skandinavien AB,556521-8152,,,,,,,,
,HGL Olje Aktiebolag,556317-3482,,,,,,,,
,Megrinn AB,556231-0556,,,,,,,,
,Kontorsutrustning i Hälsingland Aktiebolag,556483-8109,,,,,,,,
westbergmarin.se,,,,,https://westbergmarin.se,browser,no,,,Attempted to use detached Frame '54A3795C9D349C503FA670CF06BECBE4'. | method:browser
,Chapland International Aktiebolag,556483-6830,,,,,,,,
,Lamplagret i Marieberg Aktiebolag,556501-5863,,,,,,,,
,Aktiebolaget L Olsson & Co,556489-5687,,,,,,,,
lastampa.se,,,,,https://lastampa.se,browser,no,,,Attempted to use detached Frame '54A3795C9D349C503FA670CF06BECBE4'. | method:browser
,Hytorc Power Systems AB,556528-0608,,,,,,,,
,Eurocash Food AB,556503-6141,,,,,,,,
,Industriprodukter i Vingåker Aktiebolag,556505-1751,,,,,,,,
,Johan Bringners Blommor Aktiebolag,556504-3097,,,,,,,,
,CM Integrated Knowledge Aktiebolag,556506-3210,,,,,,,,
,Farmhouse Aktiebolag,556520-2867,,,,,,,,
,Kent Björk AB,556511-1431,,,,,,,,
,Matthallen i Sandared AB,556519-4817,,,,,,,,
,Marinetek Sweden AB,556267-3755,,,,,,,,
,Euroracing i Skandinavien AB,556471-6669,,,,,,,,
,Structab Aktiebolag,556480-4796,,,,,,,,
,Svenska Produkt-Depån Aktiebolag,556480-6890,,,,,,,,
,gasolstationen väst AB,556485-0211,,,,,,,,
,PEGÖ Industriprodukter Aktiebolag,556479-3007,,,,,,,,
,Eco 4 Trade Invest AB,556491-6293,,,,,,,,
,K G S Metall Aktiebolag,556491-9735,,,,,,,,
,S. Linders Agenturer Aktiebolag,556485-6721,,,,,,,,
