orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url,target_url_source,target_url_confidence,email,phone,resolve_debug,domain,contact_page,source,is_webshop,webshop_signals,webshop_debug,debug
556464-1941,C Jörgen Ericsson Aktiebolag,C Jörgen Ericsson Aktiebolag,69201,,69201; 70200,LIDINGÖ,18162,SEGLARVÄGEN 20,"Bolaget skall bedriva konsultationer i redovisning, inom IT (såväl hårdvara), multimedia (både ljud och bild) och management samt bedriva handel och förvaltning av värdepapper samt annan därmed förenlig verksamhet.",1993-04-19,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556466-1386,Lars Ederwall Advokat Aktiebolag,Lars Ederwall Advokat Aktiebolag,69101,,69101,ÖSTERSUND,83134,HAMNGATAN 15,Bolagets verksamhet skall vara att uteslutande bedriva advokat- verksamhet.,1993-04-16,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556480-2055,Country Creek Fastighets AB,Country Creek Fastighets AB,70200,,70200; 79900,SÄFFLE,66142,ÄNGSGATAN 25,Föremålet för bolagets verksamhet är fastighetsförvaltning jämte annan därmed förenlig verksamhet.,1994-01-12,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556482-2962,Seabeach Transport Aktiebolag,Seabeach Transport Aktiebolag,49410,,49410,YSTAD,27139,BORNHOLMSGATAN 1 B,"Bolagets verksamhet skall bedriva åkeriverksamhet, handel med byggmaterial, förvaltning och handel med fastigheter och därmed förenlig verksamhet.",1994-02-15,active,,,,,not_found,,,,hitta_orgnr:hitta_search_failed:HTTP 404 for https://www.hitta.se/undefined/- | hitta_name:hitta_no_next_data,,,,,,,
556471-8509,PID Product Implementation & Development Aktiebolag,PID Product Implementation & Development Aktiebolag,71123,,71123,TYGELSJÖ,21871,TYELSEVÄGEN 23,"Bolaget skall sälja konsulttjänster avseende utveckling och produktion samt utveckla och sälja produkter inom områdena datakommunikation, telekommunikation, datorutrustning, konsumentelektronik, medicinteknik, bedriva handel med värdepapper, förvaltning av fastigheter samt även idka därmed förenlig verksamhet.",1993-08-17,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556487-4286,Elghags Support AB,Elghags Support AB,70200,,70200; 46340,GETINGE,30577,RYD SUSERO 213,"Bolaget skall bedriva försäljning av möbler och vin, handel med värdepapper. Konsultverksamhet inom administration och restaurangbranschen samt bedriva därmed förenlig verksamhet.",1994-05-05,active,,,http://www.vinoch.se,,hitta_orgnr,high,info@vinoch.se,,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/elghags+support+ab/getinge/fjpvfkqu | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,vinoch.se,https://vinoch.se,browser,no,cart; product_cards; sampled_3,main@https://www.vinoch.se/:hasCart(urlPath:/cart) | main@https://www.vinoch.se/:productCards(3) | main@https://www.vinoch.se/:samplingRan(sampled=3) | sampleURL@https://vinoch.se/blog:status=200 | sampleURL@https://vinoch.se/swe/rott-vin:status=200 | sampleURL@https://vinoch.se/swe/vita-viner:status=200,
556472-6098,Norling Touring Busstrafik AB,Norling Touring Busstrafik AB,49390,,49390,NORA,71321,BOX 24,"Aktiebolaget ska bedriva personbefordran med buss och taxi, uthyrning av buss samt därmed förenlig verksamhet.",1993-09-08,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556492-9544,Westin Akustik AB,Westin Akustik AB,71124,,71124,HUDIKSVALL,82435,LARS HAMRÉNS VÄG 2,"Bolaget skall bedriva konsultverksamhet inom akustikbranschen, äga och förvalta fast egendom och aktier samt idka därmed förenlig verksamhet.",1994-09-13,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556478-3065,Dalabygdens Mark & Bygg Aktiebolag,Dalabygdens Mark & Bygg Aktiebolag,43320,,43320; 43120,BJURSÅS,79021,BOX 4,"Bolaget skall bedriva bygg- coh markentreprenader samt reparation, om- och tillbyggnadsarbeten, ävensom idka därmed förenlig verksamhet.",1993-12-06,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556484-7480,Per Aspera Aktiebolag,Per Aspera Aktiebolag,69201,,69201,ENEBYBERG,18248,ENEBYBERGSVÄGEN 57,"Bolaget ska bedriva konsultverksamhet gentemot enskilda och juridiska personer inom ekonomi, juridik och angränsande områden samt därmed förenlig verksamhet. Bolaget ska också bedriva utbildnings- och konferensverksamhet samt catering. Bolaget tillverkar och renoverar inventarier eller utrustning och genomför i anslutning till detta ombyggnadsarbeten av bostäder och andra lokaler.",1994-03-21,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556490-0883,Strukturum i Jokkmokk Aktiebolag,Strukturum i Jokkmokk Aktiebolag,70200,,70200,JOKKMOKK,96221,BOX 19,Bolaget skall stödja utveckling och förnyelse av näringslivet i Jokkmokks kommun samt bedriva därmed förenlig verksamhet.,1994-07-04,active,,,http://www.strukturum.se/,,hitta_orgnr,high,,,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/strukturum+i+jokkmokk+ab/jokkmokk/morbimmtu | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,strukturum.se,https://strukturum.se,browser,no,,,net::ERR_CONNECTION_TIMED_OUT at https://strukturum.se | method:browser
556503-4435,Lundquist & Partners AB,Lundquist & Partners AB,70200,,70200,DJURSHOLM,18268,GERMANIAVÄGEN 14 B,"Aktiebolaget ska bedriva managementkonsultverksamhet, konsultativ verksamhet inom områdena företagsutveckling och företagsförädling, äga och förvalta värdepapper samt därmed förenlig verksamhet.",1994-12-20,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556510-3149,Svenska Condec Consult AB,Svenska Condec Consult AB,43320,,43320,TRÅNGSUND,14265,NORRA BONDEVÄGEN 18,"Bolaget ska tillhandahålla fastighetsskötsel, snickeri, renovering, ombyggnad, reparationer samt konsultverksamhet inom film och teater, artistframträdanden, skriva musik och texter och musikförlagsverksamhet samt därmed förenlig verksamhet.",1995-03-11,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556493-9766,Ulf Jönsson i Helsingborg Aktiebolag,Ulf Jönsson i Helsingborg Aktiebolag,71122,,71122,HELSINGBORG,25368,BUNKAGÅRDSGATAN 14,"Bolaget ska bedriva logistikverksamhet, verksamheter inom juridik och ekonomi, verksamheter som utövas av huvudkontor så som konsulttjänster till företag så som att tillhandahålla råd och stöd till företag avseende ledningsfrågor, till exempel strategisk planering och organisationsplanering, ekonomisk planering och budgetering, policy, praktik och planering avseende personal, övervakning och ledning, förvalta fast och lös egendom samt idka därmed förenlig verksamhet.",1994-09-17,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556514-0190,Comlink AB,Comlink AB,71123,,71123,KUNGSBACKA,43437,ENERGIGATAN 10 B,"Bolaget ska bedriva utveckling,import/export och försäljning av teknisk/elektronisk utrustning främst avseende telematik, samt tjänster rörande sagda utrustning samt idka därmed förenlig verksamhet.",1995-11-23,active,,,http://www.comlink.se/,,hitta_orgnr,high,info@comlink.se,+46 31 20 86 00,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/comlink+ab/kungsbacka/mmnnptyh | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,comlink.se,https://www.comlink.se/about,browser,no,,contact_like@https://www.comlink.se/om-comlink/:samplingRan(sampled=0),
556501-5616,S-E Sandbergs Revisionsbyrå Aktiebolag,S-E Sandbergs Revisionsbyrå Aktiebolag,69202,,69202,LUND,22730,MÅLAREVÄGEN 43,Bolaget skall bedriva revisionsverksamhet ävensom idka annan därmed förenlig verksamhet.,1994-12-16,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556523-5313,Swedecheck Sweden AB,Swedecheck Sweden AB,71124,,71124; 64994,LINKÖPING,58937,KÄLLSÄTERSVÄGEN 3,"Bolaget ska bedriva handel med fläkt- och ventilationsprodukter, konsultverksamhet inom VVS-området, handel och förvaltning av värdepapper samt därmed förenlig verksamhet.",1995-07-26,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556509-5337,Geoscope Aktiebolag,Geoscope Aktiebolag,71124,,71124,STOCKHOLM,11127,STORA NYGATAN 9,"Bolaget skall bedriva teknisk rådgivning, utbildning och produktion av kommunikationsmaterial med inriktning på miljö, naturreursutnyttjande, turism och bergsport, köp, förvaltning och försäljning av fast egendom samt därtill hörande och angränsande verksamhet.",1995-03-23,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556516-0222,Gimbringer Konsult AB,Gimbringer Konsult AB,69201,,69201,STOCKHOLM,11530,SKEPPARGATAN 75  LGH 1505,Bolagets verksamhet utgörs av konsultationer och andra tjänster inom ekonomi och redovisning samt därmed förenlig verksamhet.,1995-09-28,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556519-2019,Hans-Olov Pettersson Måleri AB,Hans-Olov Pettersson Måleri AB,43341,,43341,SOLLEFTEÅ,88130,STORGATAN 39  BV,"Bolaget skall bedriva måleri, golvläggning, konsultation inom måleribranschen, handel med aktier och värdepapper samt dämed förenlig verksamhet.",1995-07-13,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556542-3695,Mårten Haglind Datakonsult AB,Mårten Haglind Datakonsult AB,71121,,71121,GÖTEBORG,41301,HAGA NYGATA 22,"Bolaget ska bedriva konsultverksamhet inom IT-utveckling, utbildning inom IT-området, journalistisk verksamhet samt konsultativ verksamhet avseende byggnadsteknik, förvaltning av aktier, värdepapper och fastigheter, ävensom driva därmed förenlig verksamhet.",1997-06-02,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556534-1715,Signalbilden Tidaholm AB,Signalbilden Tidaholm AB,71123,,71123,TIDAHOLM,52231,TRÄDGÅRDSGATAN 27,Bolaget skall bedriva konsultverksamhet för signalsäkerhets- anläggningar och manöversystem inom järnvägstekniska områden samt därmed förenlig verksamhet.,1996-09-13,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556536-5995,Energi och Transport Entreprenad i Pjätteryd AB,Energi och Transport Entreprenad i Pjätteryd AB,43120,,43120; 95311,ÄLMHULT,34393,STENSHULT SÖDREGÅRD,"Bolaget skall idka transporter inom- och utomlands. Maskin- entreprenad såsom kalkning, snöröjning, grävning och väg- underhåll. Fastighetsförvaltning och handel med värdepapper samt annan därmed förenlig verksamhet.",1996-12-12,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556545-2686,In The Zone AB,In The Zone AB,70200,,70200,BROMMA,16757,IGELKOTTSVÄGEN 44,"Bolaget skall syssla med journalistik, travrörelse, publicistisk verksamhet samt idka därmed förenlig verksamhet.",1997-10-09,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556521-6669,Hans Elis Johansson AB,Hans Elis Johansson AB,70200,,70200,STOCKHOLM,11455,GREV MAGNIGATAN 9,"Bolaget ska bedriva import, export och handel med idrottsmaterial, idka konsultverksamhet företags- och ledarutveckling, handel med värdepapper, samt ävensom idka annan därmed förenlig verksamhet.",1995-07-20,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556516-3689,Ilexatis Aktiebolag,Ilexatis Aktiebolag,70200,,70200,BROMMA,16732,ULVSUNDAVÄGEN 3  LGH 1202,"Aktiebolaget ska bedriva revisionsverksamhet, konsultationer och rådgivning vad gäller redovisning, organisation, ekonomi och skatter, bedriva förvaltning samt handel med värdepapper, samt bedriva annan därmed förenlig verksamhet.",1996-09-04,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556532-9629,Pauin AB,Pauin AB,69202,,69202,RÅÅ,25269,ÖSTERGATAN 19,Aktiebolaget ska bedriva revisionsverksamhet samt därmed förenlig verksamhet.,1996-07-05,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556518-0493,Lekebergs kommunala holding AB,Lekebergs kommunala holding AB,70100,,70100,FJUGESTA,71681,Bangatan 7,"Bolaget har till föremål för sin verksamhet att handha samordning, ägarstyrning och försäljning av hel- eller delägda bolag.   Bolaget har till ändamål med sin verksamhet att äga och förvalta i hel eller delägda bolag, att styra och samordna verksamheten i koncernen, (de helägda bolagen) samt annan därmed förenlig verksamhet. Detta ska leda till att de kommunala bolagen skall spela en mer aktiv roll i utvecklingen av kommunens attrativutet samt ett mer rationellt utnyttjande av kommunens lokaler av olika målgrupper, såväl interna som externa.",1995-09-14,active,,,,,not_found,,,,hitta_orgnr:hitta_search_failed:HTTP 404 for https://www.hitta.se/undefined/- | hitta_name:hitta_no_next_data,,,,,,,
556529-8600,Sälens Lastmaskiner AB,Sälens Lastmaskiner AB,43120,,43120,SÄLEN,78091,LISPASÄTRA 53,"Bolaget skall bedriva grund- och schaktningsarbeten, markarbeten, snöröjning och därmed förenlig verksamhet.",1996-03-01,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556519-5558,Glenn Brunnhede Auto-Delar Aktiebolag,Glenn Brunnhede Auto-Delar Aktiebolag,70200,,70200,KINNA,51157,FRITSLAVÄGEN 30,Föremålet för bolagets verksamhet är handel med bildelar och biltillbehör och därmed förenlig verksamhet.,1995-07-13,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556531-6865,Urbans Rör i Jokkmokk Aktiebolag,Urbans Rör i Jokkmokk Aktiebolag,43221,,43221,JOKKMOKK,96232,STORGATAN 28 D,"Bolaget skall bedriva arbete med rörinstallationer, service- och entreprenadarbeten inom VVS samt detaljförsäljning av VVS-varor och därmed förenlig verksamhet.",1996-05-15,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556523-3813,Zeime Produktion AB,Zeime Produktion AB,70200,,70200; 90390,STOCKHOLM,11442,SIBYLLEGATAN 29,"Bolaget ska bedriva produktion och bearbetning av text till böcker och övrig redaktionellt material. Design, inköp, försälj ning av textilier och designartiklar.",1995-07-26,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556554-3385,Nicklas Månsson Transport AB,Nicklas Månsson Transport AB,49410,,49410,FRISTAD,51334,STORA VÄGEN 23 A,Bolaget skall bedriva transportverksamhet ävensom idka därmed förenlig verksamhet.,1998-03-25,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556454-9045,HORTANS PLATTSÄTTNING Aktiebolag,HORTANS PLATTSÄTTNING Aktiebolag,43330,,43330,SEGELTORP,14173,MÄSTARVÄGEN 48,"Bolaget skall bedriva byggnadsarbeten, mur- och plattsättning samt därmed förenlig verksamhet.",1992-10-15,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556474-9074,Bästekille Åkeri Aktiebolag,Bästekille Åkeri Aktiebolag,49410,,49410,SANKT OLOF,27740,BOKEVÄGEN 12,Bolaget skall bedriva åkeri samt därmed förenlig verksamhet.,1993-10-28,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556464-7252,JKA Advisory AB,JKA Advisory AB,71129,,71129,HELSINGBORG,25442,MELLERSTA STENBOCKSGATAN 24,"Bolaget ska bedriva rådgivning och konsultverksamhet inom miljöområdet, främst avseende farligt avfall och förorenad mark samt därmed förenlig verksamhet. Inom bolaget ska även bedrivas antikvariats- och galleriverksamhet samt tapetserarverksamhet och byggnadsantikvarisk verksamhet med därmed förenlig verksamhet.",1993-03-24,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556485-1458,Nordahls Måleri i Solna Aktiebolag,Nordahls Måleri i Solna Aktiebolag,43341,,43341,SOLNA,16957,RÅSUNDAVÄGEN 75,Bolaget skall bedriva måleriverksamhet samt förvaltning av värdepapper och fastigheter ävensom idka därmed förenlig verksamhet.,1994-03-29,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556472-6171,Cunator AB,Cunator AB,69201,,69201,GÖTEBORG,41124,VASAGATAN 11  BOX 1277,"Aktiebolaget ska bedriva konsultverksamhet inom ekonomi och juridik samt äga, förvalta och förmedla fast och lös egendom såsom fastigheter, värdepapper och bolagsandelar samt därmed förenlig verksamhet. Boalget skall även bedriva mäklarverksamhet samt därmed förenlig verksamhet.",1993-10-15,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556491-7697,Sindeman Byggnads Aktiebolag,Sindeman Byggnads Aktiebolag,43120,,43120; 41000,SUNDBYBERG,17275,JÄRNVÄGSGATAN 84,Bolaget skall bedriva uppförande och projektering av byggnader och fastigheter samt handel med byggvaror och därmed förenlig verksamhet.,1994-08-25,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556494-5557,Mats O Persson Konsult AB,Mats O Persson Konsult AB,70200,,70200,STOCKHOLM,11432,VILLAGATAN 9  LGH 1401,Bolaget ska bedriva ekonomisk konsultverksamhet främst med inriktning på marknadsföring och företagsledning. Bolaget ska även bedriva fastighetsförvaltning. Bolaget äger även rätt att förvärva och äga aktier i andra bolag samt bedriva handel med värdepapper och andra på marknaden förekommande finansiella instrument samt idka därmed förenlig verksamhet.,1994-09-26,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556482-8274,LTM i Gävle Aktiebolag,LTM i Gävle Aktiebolag,43999,,43999; 25530,GÄVLE,80006,BOX 6037,"Bolaget verksamhet ska vara att driva besiktning, planering, montering och reparationer av lekplatser, murning och putsning av hus amt idka därmed förenlig verksamhet.",1994-02-25,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556484-8066,Strigiform Överblick & Nedslag Aktiebolag,Strigiform Överblick & Nedslag Aktiebolag,70200,,70200,STOCKHOLM,11240,FRIDHEMSGATAN 27  2TR,"Bolaget skall bedriva kurser, seminarier, utredningar samt författarskap inom medicin, teknik och beteendevetenskap samt idka därmed förenlig verksamhet.",1994-04-11,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556500-4875,Tom Kidd AB,Tom Kidd AB,70200,,70200; 64212,STOCKHOLM,11425,LILL-JANS PLAN 2  5 TRAPPOR,"Bolaget skall bedriva produktion, utveckling, försäljning av bilder för tryck av bland annat vykort, företagskort och affischer, bedriva bildbyråverksamhet samt därmed förenlig verksamhet.",1994-12-07,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556488-7056,Matts Fröberg Golvslipning Aktiebolag,Matts Fröberg Golvslipning Aktiebolag,43330,,43330,HANINGE,13664,STORA BJÖRNENS GATA 96,Bolaget skall bedriva golvslipning och därmed förenlig verksamhet.,1994-06-16,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556486-3305,Great Palace AB,Great Palace AB,70200,,70200; 74990,STOCKHOLM,11348,SURBRUNNSGATAN 38,"Bolaget skall bedriva konsultativ verksamhet inom hotell och restaurangnäringen med inriktning på lönsamhet och kostnads- analyser samt äga och förvalta fastigheter, aktier och värdepapper och därmed förenlig verksamhet.",1994-04-19,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556510-7181,Svenska Landskap Högborg AB,Svenska Landskap Högborg AB,71110,,71110,LUND,22730,ARKITEKTVÄGEN 27,Bolaget skall bedriva konsulterande landskapsarkitektverksamhet ävensom idka därmed förenlig verksamhet.,1995-03-11,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556513-0878,Jarmelid i Arboga Aktiebolag,Jarmelid i Arboga Aktiebolag,49410,,49410,ARBOGA,73231,NORRA ÅGATAN 20,"Aktiebolaget skall bedriva åkeriverksamhet, handel, försäljning, import, export, serviceverksamhet av tunga fordon och entreprenadmaskiner, konsultverksamhet inom åkerinäringen, uthyrning av arbetskraft, förvaltning av aktier, värdepappershandel, uppfödning och träning av hästar samt därmed förenlig verksamhet.",1995-05-03,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556494-0533,Flying Duck AB,Flying Duck AB,70200,,70200; 59200,UPPSALA,75642,ÖSTRA ÅGATAN 99,Bolaget skall bedriva skivbolagsverksamhet samt företags- ekonomiska och organisatoriska konsultationer samt därmed förenlig verksamhet.,1994-09-17,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556524-3770,L Karlins Transport AB,L Karlins Transport AB,49410,,49410,BRÄMHULT,50733,BASTUGATAN 12,Bolaget skall utföra godstransporter och därmed förenlig verksamhet.,1995-07-28,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556506-1651,Widemar Legal & Compliance AB,Widemar Legal & Compliance AB,69102,,69102; 64994,TROSA,61935,ALPGATAN 3,Bolaget ska bedriva juridisk rådgivning och utbildning i juridiska frågor samt förvaltning av egna värdepapper och därmed förenlig verksamhet.,1995-02-16,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556517-6095,Conratio AB,Conratio AB,70200,,70200,ENSKEDEDALEN,12131,ÅSGÄRDEVÄGEN 39  LGHT 1401,Bolaget skall bedriva försäljning av konsulttjänster inom ekonomi och data samt därmed förenlig verksamhet.,1995-10-09,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556537-7404,Sörmlandskustens Konsultbyrå AB,Sörmlandskustens Konsultbyrå AB,69201,,69201,TYSTBERGA,61199,STORA ÄLGHAMMAR 1,Bolaget ska bedriva redovisnings- och konsulttjänster inom ekonomi och administration samt därmed förenlig verksamhet.,1996-12-23,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556545-4377,Davéns Åkeri AB,Davéns Åkeri AB,49410,,49410,SÖDERTÄLJE,15242,BRUNNSÄNGSVÄGEN 32,"Bolaget skall bedriva åkeriverksamhet, städning, köp, försäljning och service av transportutrustning, transportförmedling, ävensom idka därmed förenlig verksamhet.",1997-08-25,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556477-5103,Olsens Dumper Aktiebolag,Olsens Dumper Aktiebolag,43120,,43120,GÖTEBORG,41329,MASTHAMNSGATAN 5,"Bolaget skall bedriva tjänster med förflyttning av jord, grus och bergmassor medelst körning av dumper, samt därmed förenlig verksamhet.",1993-11-29,active,,,,,not_found,,,,hitta_orgnr:hitta_search_failed:HTTP 404 for https://www.hitta.se/undefined/- | hitta_name:hitta_no_next_data,,,,,,,
556444-7406,CBF Elektriska Aktiebolag,CBF Elektriska Aktiebolag,43210,,43210,ÅSBRO,69460,PARKVÄGEN 7,Bolaget skall bedriva elektriska och elektroniska installations- och tillverkningsarbeten samt därmed förenlig verksamhet.,1992-04-07,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556483-8117,Mosebacke EkonomiFörvaltning AB,Mosebacke EkonomiFörvaltning AB,69201,,69201,JOHANNESHOV,12144,KONSTGJUTARVÄGEN 52  2 TR.,"Bolaget skall bedriva bokförings- och redovisningsuppdrag, ekonomisk uppdragsverksamhet, förvaltning av fast egendom och bostadsrätter, handel med värdepapper, ävensom idka därmed förenlig verksamhet.",1994-04-05,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556485-7315,TOTAL ARKITEKTUR OCH URBANISM TAU AB,TOTAL ARKITEKTUR OCH URBANISM TAU AB,71110,,71110,STOCKHOLM,11260,FYRVERKARBACKEN 21,"Bolaget skall bedriva arkitekt- och byggledningsverksamhet, äga och förvalta värdepapper samt därmed förenlig verksamhet.",1994-04-08,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556490-8639,Bergsjöholm Slott och Rådgivning AB,Bergsjöholm Slott och Rådgivning AB,69201,,69201; 55102,YSTAD,27191,BERGSJÖHOLMS ALLÉ 50,"Bolaget skall tillhandahålla konferensarrangemang inbegripet restaurangrörelse i exklusiv miljö, äga och förvalta fast och lös egendom såsom fastigheter och värdepapper, bedriva rådgivning inom ekonomisk redovisning och därmed förenlig verksamhet.",1994-08-19,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556446-7115,Sunnerbo Tak Aktiebolag,Sunnerbo Tak Aktiebolag,43411,,43411; 43412,MARKARYD,28539,HALLARYDSVÄGEN 64,"Bolaget ska bedriva takläggnings- och byggnadsarbeten, äga och förvalta fast egendom och värdepapper samt ävensom idka därmed förenlig verksamhet.",1992-04-23,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556326-4448,Edling Ekonomikonsult AB,Edling Ekonomikonsult AB,69202,,69202,HUDIKSVALL,82451,VINTERVÄGEN 39,"Föremålet för bolagets verksamhet är att utföra tjänster inom revision, redovisning, skatter, ekonomisk rådgivning, affärsrådgivning, datatjänster samt äga och förvalta fast egendom, värdepapper ävensom idka därmed förenlig verksamhet.",1988-06-06,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556468-1475,Förvaltnings Aktiebolaget Åmänningen,Förvaltnings Aktiebolaget Åmänningen,70200,,70200,SOLNA,17168,CENTRALVÄGEN 3  5 TR,"Bolaget skall bedriva rådgivning och utbildningsverksamhet inom administration, finansiering, ekonomi, värdepapper, valutahandel, skuldsanering, handel och förvaltning av värdepapper och fast egendom samt därmed förenlig verksamhet.",1993-06-04,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556328-8934,Uffe Hedman Åkeri Aktiebolag,Uffe Hedman Åkeri Aktiebolag,49410,,49410,SOLLENTUNA,19162,KNISTA GÅRD,Bolaget skall driva åkerirörelse jämte därmed förenlig verksamhet.,1988-06-23,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
