orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url,target_url_source,target_url_confidence,resolve_debug,email,phone,domain,contact_page,source,is_webshop,webshop_signals,webshop_debug,debug
556061-0478,Magnussons livs i Tibro AB,Magnussons livs i Tibro AB,47112,,47112; 10850; 10130,TIBRO,54330,Allétorget 8,Bolaget skall som medlem i ICA Förbundet bedriva detaljhandelsrörelse med dagligvaror och därmed förenlig verksamhet.,1955-03-21,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556066-2719,Etervåg Radio & TV Aktiebolag,Etervåg Radio & TV Aktiebolag,47403,,47403,STOCKHOLM,11637,SKÅNEGATAN 90,Bolaget skall bedriva försäljning av radio- och televisionsapparater samt därmed sammanhängande rörelse.,1958-02-17,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556075-7683,Creative Textil i Borås AB,Creative Textil i Borås AB,46410,,46410,BORÅS,50113,BOX 440  SEGLORAVÄGEN 15,"Bolaget skall driva handel med textiltillbehör, ävensom idka därmed förenlig verksamhet.",1960-12-20,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556084-6544,Hald & Tesch Brand ab,Hald & Tesch Brand Aktiebolag,46649,,46649; 20599,SKARPNÄCK,12821,BOX 2030,Bolaget har till föremål för sin verksamhet att idka inköp och försäljning av brandmaterial jämte därmed förenlig verksamhet.,1962-10-16,active,,,http://www.haldotesch.se,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/hald+och+tesch+brand+ab/skarpn%C3%A4ck/kgoqxhkkl | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,hk@haldotesch.se,+46 20 93 29 60,haldotesch.se,https://haldotesch.se,static,no,,,
556051-9497,Frydéns Järnhandel Aktiebolag,Frydéns Järnhandel Aktiebolag,47522,,47522,TIBRO,54330,STORA TORGET 1,"Bolaget skall idka handels- och fabriksrörelse, äga och förvalta fastigheter samt bedriva därmed förenlig verksamhet.",1948-03-24,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556056-4527,Stopalo Aktiebolag,Stopalo Aktiebolag,47791,,47791,STOCKHOLM,11226,FLEMINGGATAN 31  LGH 1102,Bolaget skall bedriva handel med antikviteter ävensom idka därmed förenlig verksamhet.,1952-01-23,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556099-7651,Mossberget 4 AB,Mossberget 4 AB,47541,,47541,SOLLEBRUNN,44172,MOSSEBERGSVÄGEN 5,Bolaget skall bedriva försäljning av hushållsmaskiner och elapparatur samt därmed förenlig verksamhet.,1965-09-20,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556096-6045,Aktiebolaget Saltå By,Aktiebolaget Saltå By,47789,,47789; 85690,JÄRNA,15391,SALTÅ 17,"Aktiebolaget ska bedriva försäljning av ved, distribution, presentartiklar mm, försäljning av tjänster såsom utbildning, läkepedagogik samt därmed förenlig verksamhet.",1965-02-09,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556124-0358,ZF CV Distribution Sweden AB,ZF CV Distribution Sweden AB,46720,,46720,VÄSTRA FRÖLUNDA,42130,OLOF ASKLUNDS GATA 14,Bolaget har till föremål för sin verksamhet att tillverka samt driva handel med produkter av mekanisk verkstadsindustri och idka annan därmed förening verksamhet.,1969-03-03,active,,,http://www.wabco-auto.com/,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/zf+cv+distribution+sweden+ab/v%C3%A4stra+fr%C3%B6lunda/flpprtzef | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,,wabco-auto.com,https://wabco-auto.com,browser,no,,,Attempted to use detached Frame '78D858F6C602CEEC65D92EF68B1F539B'. | method:browser
556126-6056,Reservdelaronline Sverige AB,Reservdelaronline Sverige AB,47123,,47123; 47522; 47523,ÖSTERHANINGE,13769,DAMMLIDEN 9,Bolaget skall bedriva detaljhandelsrörelse inom reservdelar primärt till trädgårdsmaskiner samt järn- och färghandelsbranschen och härmed förenlig verksamhet.,1969-06-09,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556140-9011,Mediplast AB,Mediplast AB,46460,,46460,MALMÖ,21210,BOX 1004,"Bolaget ska importera, exportera, bedriva partihandel med samt tillverka medicinsk-teknisk utrustning ävensom idka annnan därmed förenlig verksamhet.",1970-11-09,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556140-9474,Svenssons Optik i Grums Aktiebolag,Svenssons Optik i Grums Aktiebolag,47742,,47742,GRUMS,66423,BOX 113,Bolaget skall driva handel och service inom optikbranschen och därmed förenlig verksamhet.,1970-11-09,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556095-7531,Activ Inredning Varberg AB,Activ Inredning Varberg AB,47551,,47551,HEBERG,31196,HOLMERS VÄG 12,Bolaget skall bedriva handel med möbler och övrig heminredning samt därmed förenlig verksamhet.,1964-12-18,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556099-8626,"Bilbolaget Lastvagnar, Persson & Co AB","Bilbolaget Lastvagnar, Persson & Co AB",46712,,46712; 95311; 47820,SUNDSVALL,85124,BOX 870,Bolaget skall äga och förvalta fast och lös egendom samt driva bilhandel och bilverkstadsrörelse jämte därmed förenlig verksamhet.,1965-09-27,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556154-8347,Tandläkarnas Serviceaktiebolag,Tandläkarnas Serviceaktiebolag,46499,,46499,STOCKHOLM,11182,BOX 1217,Bolaget skall vara framställningsamordnare för medlemstidskrift åt Sveriges Tandläkarförbund samt tillhandahålla sådana tjänster som är ägnade till att vidmakthålla medlemmarnas yrkeskunskaper samt idka därmed förenlig verksamhet. Bolaget får äga och förvalta fast egendom.,1971-12-06,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556109-2270,Kialina AB,Kialina AB,47123,,47123; 69201; 85599; 86930; 96230,TYSTBERGA,61199,SÄTTERSTA KLOCKARSTUGA 1,"Bolaget ägnar sig åt friskvård genom näring- samtal- och rid- terapi, samt återförsäljning av hälsofrämjande produkter. Bolaget ägnar sig också åt företagsadministrativa tjänster och därmed förenlig verksamhet.",1967-03-28,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556158-7048,GymPartner Gruppen Sidkarta Kontaktinformation GymAuktioner Sverige AB,Ånäskliniken Gym & Massage AB,46491,,46491,GÖTEBORG,41668,EJDERGATAN 12,"Bolaget ska bedriva Gym, Personlig Träning, Massage, Friskvårdskurser, samt bedriva handel med ny & begagnad gym- och träningsredskap. Förmedling av annans egendom genom fysiska auktioner på plats och internetauktioner. Samarbetspartner med andra auktionsfirmor gällande lager, logistik och transporter med egna fordon, samt därmed förenlig verksamhet.",1972-02-17,active,,,https://gymauktioner.se/,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/gymauktioner-sport-och-traningsutrustning-i-gbg-ab/g%C3%B6teborg/jctxxamn | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,+46 76 393 30 57,gymauktioner.se,https://gymauktioner.se,static,no,cart; product_cards,static@https://gymauktioner.se:hasCart(urlPath:/varukorg) | static@https://gymauktioner.se:productCards(3),
556189-4519,Wisby Ur & Guld Aktiebolag,Wisby Ur & Guld Aktiebolag,47771,,47771; 47552; 47742,VISBY,62121,BOX 1082,"Bolaget skall driva guldsmeds-, ur- och presentaffärsrörelse samt idka därmed förenlig verksamhet.",1975-04-02,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556183-7385,Spelhörnan Klövern Aktiebolag,Spelhörnan Klövern Aktiebolag,47260,,47260; 47621; 92000,ÅKERSBERGA,18430,STORÄNGSTORGET 4,Bolaget skall idka tobakshandel samt ombud för statlig spelverksamhet ävensom idka därmed förenlig verksamhet.,1973-09-18,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556189-5581,Hedéns Reparationsverkstad Aktiebolag,Hedéns Reparationsverkstad Aktiebolag,46610,,46610; 33120,VÅRGÅRDA,44735,KORSGATAN 13,Bolaget skall bedriva handel och serviceverksamhet med utrustning för skogs- och trädgårdsbruk samt därmed förenlig verksamhet.,1975-04-15,active,,,http://www.hedensvargarda.se,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/hed%C3%A9ns+skog+o+tr%C3%A4dg%C3%A5rd/v%C3%A5rg%C3%A5rda/ijmgtemq | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment | hitta_orgnr:email_in_segment | hitta_orgnr:phone_in_segment,info@hedensvargarda.se,+46322625010,hedensvargarda.se,,,,,,
556219-5155,StenEng AB,StenEng AB,46820,,46820,HILLERSTORP,33573,INDUSTRIGATAN 6,Bolaget skall bedriva handel med ädla metaller och förvaltning med värdepapper samt därmed förenlig verksamhet.,1982-08-17,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556196-7760,Granen Livs i Vilhelmina Aktiebolag,Granen Livs i Vilhelmina Aktiebolag,47112,,47112,VILHELMINA,91232,VOLGSJÖVÄGEN 36,"Bolaget skall bedriva detaljhandelsrörelse med dagligvaror inom ICA-verksamheten i Sverige, uthyrning av lokaler, handel med värdepapperoch annan därmed förenlig verksamhet.",1978-04-10,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556209-8458,Golvman i Trestad Aktiebolag,Golvman i Trestad Aktiebolag,47531,,47531; 43330,HENÅN,47334,HÖGELIDSVÄGEN 5,"Bolaget skall bedriva golvläggningsentreprenader, försäljning av mattor, handel med värdepapper, förvaltning av fastigheter samt idka därmed förenlig verksamhet.",1981-04-27,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556225-3863,Kickback Sweden AB,Kickback Sweden AB,47811,,47811,MELLERUD,46434,HANTVERKARGATAN 1,"Bolaget skall bedriva handel med bilar, fastigheter och värde- papper och därmed förenlig verksamhet.",1983-02-14,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556202-0684,Lundabrillan AB,Lundabrillan AB,47742,,47742,LUND,22351,VÄSTRA MÅRTENSGATAN 1,Bolaget skall bedriva optikerverksamhet.,1979-11-20,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556204-5574,Fuktkontroll AB,Fuktkontroll Rahle AB,46842,,46842,TÄBY,18714,BOX 7313,Bolaget skall bediva handel med och tillverkning av luftbehandlingsutrustning och annan därmed förenlig verksamhet.,1980-04-17,active,,,https://fuktkontroll.se/,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/fuktkontroll+rahle+ab/t%C3%A4by/fantxecng | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,+46 8 792 11 55,fuktkontroll.se,https://fuktkontroll.se,static,no,,,
556053-5964,Zetatrade Aktiebolag,Zetatrade Aktiebolag,46860,,46860,SOLLENTUNA,19162,KUSKVÄGEN 5,"Bolaget skall inom tillverkande industri bedriva handel med grafiskt material, maskiner, förpackningsmaterial och program- vara, äga och förvalta fast och lös egendom och värdepapper samt idka annan därmed förenlig verksamhet.",1949-10-28,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556081-3775,Geze Scandinavia Aktiebolag,Geze Scandinavia Aktiebolag,46649,,46649; 46831; 25120,TÄBY,18711,BOX 7060,"Bolaget skall driva handel med dörrar, industriportar och byggnadsmaterial jämte därmed förenlig verksamhet.",1961-12-29,active,,,http://www.geze.se/,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/geze-scandinavia-ab/stockholm/jcmggvvij | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,,geze.se,https://geze.se,browser,no,,,Attempted to use detached Frame '78D858F6C602CEEC65D92EF68B1F539B'. | method:browser
556082-7577,Rimox Aktiebolag,Rimox Aktiebolag,47811,,47811,MÖLNLYCKE,43535,BRÅTAVÄGEN 3,Bolaget skall bedriva handel och förvaltning av värdepapper samt fast och lös egendom.,1962-05-02,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556107-9079,Lenze AB,Lenze AB,46141,,46141,LINKÖPING,58330,TEKNIKRINGEN 8  HUS 2,"Aktiebolaget ska i Sverige och Finland bedriva försäljning, utbildning och teknisk support av elektronisk utrustning och mjuk- vara för industriell automation, jämte därmed förenlig verksamhet.",1967-01-10,active,,,https://www.lenze.com/en-se/,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/lenze+ab/link%C3%B6ping/kpuemgpyz | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,,lenze.com,https://lenze.com,browser,no,,,Attempted to use detached Frame '78D858F6C602CEEC65D92EF68B1F539B'. | method:browser
556108-2651,Almeviks Motor Aktiebolag,Almeviks Motor Aktiebolag,47811,,47811; 95311,LUND,22104,BOX 1067,"Bolaget skall bedriva handel med bilar och drivmedel samt utföra bilservice,handel med värdepapper,fastighetsförvaltning ävensom idka annan därmed förenlig verksamhet.",1967-01-30,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556079-2417,KZ Larm AB,KZ Larm AB,46641,,46641; 46720; 64994; 95320,STAFFANSTORP,24592,KANIKSVÄGEN 15,"Aktiebolaget ska bedriva försäljning, installation, service och uthyrning av säkerhetssystem och mätinstrument. Uthyrning och transport av maskiner inom byggsektorn. Handel med värdepapper samt annan därmed förenlig verksamhet.",1961-07-20,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556115-7586,Marposs Aktiebolag,Marposs Aktiebolag,46649,,46649; 46641,KARLSKOGA,69142,ELEMENTVÄGEN 2,Bolaget skall bedriva handel med elektroniska styr- och mät- apparater samt ombesörja reparation och service av sådana apparater.,1968-03-07,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556147-2068,Boxholms Motorverkstad Aktiebolag,Boxholms Motorverkstad Aktiebolag,47300,,47300,BOXHOLM,59575,STRÅLSNÄS VERKSTAD 1,"Aktiebolaget ska bedriva bensinmack, bilverkstad, värdepappershandel samt därmed förenlig verksamhet.",1971-05-24,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556160-5899,Miljöma Aktiebolag,Miljöma Aktiebolag,47522,,47522,JÖNKÖPING,55474,KINDGRENSGATAN 3,Bolaget skall bedriva tillverkning och försäljning av hem- och butiksmiljöartilar och driva därmed förenlig verksamhet.,1972-03-13,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556163-9468,Runi Marin Aktiebolag,Runi Marin Aktiebolag,47633,,47633,LINKÖPING,58274,GRÄNSLIDEN 3,"Bolaget skall driva försäljning och reparationsverksamhet av båtar, motorer och tillbehör, samt därmed förenlig verksamhet.",1972-05-10,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556183-1545,Interkakel Aktiebolag,Interkakel Aktiebolag,46831,,46831; 43999,BORÅS,50468,BÄCKESKOGSGATAN 1,"Bolaget skall bedriva import och försäljning av keramiska byggmaterial, ävensom idka därmed förenlig verksamhet.",1973-08-22,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556185-4315,Mestergruppen Sverige AB,Mestergruppen Sverige AB,46130,,46130,SOLNA,17154,HEMVÄRNSGATAN 9,"Bolaget ska, direkt eller genom dotterbolag, samordna och utveckla inköp, marknadsföring och försäljning av byggvaror och järnvaror, bedriva detaljhandel med byggvaror och järnvaror samt idka därmed förenlig verksamhet.",1973-11-29,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556195-3828,Rexsvarven i Storebro Aktiebolag,Rexsvarven i Storebro Aktiebolag,46620,,46620; 77390,HULTSFRED,57739,NYTORPSVÄGEN 9,"Bolaget skall bedriva handel med verktygsmaskiner, verktygsutrustning och värdepapper, uthyrning av verktygsmaskiner, verktygsutrustning och bilar, fastighetsförvaltning samt annan därmed förenlig verksamhet.",1977-08-09,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556155-1754,Ögonexperten i Varberg AB,Ögonexperten i Varberg AB,47742,,47742,VARBERG,43241,KYRKOGATAN 17  1TR.,"Bolaget skall bedriva handel inom optiska branschen, utföra synundersökningar och därmed förenlig verksamhet.",1971-12-13,active,,,https://www.ogonexperten.se/,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/%C3%B6gonexperten/varberg/lqtuelmgo | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment | hitta_orgnr:email_in_segment | hitta_orgnr:phone_in_segment,info@ogonexperten.se,+4634080500,ogonexperten.se,,,,,,
556169-3465,Plockmatic International Aktiebolag,Plockmatic International Aktiebolag,46501,,46501,HÄGERSTEN,12626,TELEFONVÄGEN 30,"Bolaget skall driva tillverknings-, handels- och agenturrörelse med kontorsmaskiner och kontorsutensilier samt idka därmed förenlig verksamhet.",1972-09-18,active,,,http://www.pdfab.se,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/plockmatic+international+ab/h%C3%A4gersten/lqrteagq | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,,pdfab.se,https://pdfab.se,browser,no,,,Attempted to use detached Frame '78D858F6C602CEEC65D92EF68B1F539B'. | method:browser
556206-8675,Aktiebolaget Billyftarservice i Landvetter,Aktiebolaget Billyftarservice i Landvetter,46649,,46649,MÖLNDAL,43153,KRYPTONGATAN 22,Bolaget skall utföra reparationer och montering av billyftare ävensom idka därmed förenlig verksamhet.,1980-11-04,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556217-1016,Aktiebolaget Busters Mack,Aktiebolaget Busters Mack,47242,,47242; 56110; 68203; 70200; 68202,BURGSVIK,62335,HAMNVÄGEN 28,"Bolaget skall äga och förvalta fastigheter, bedriva uthyrningsverksamhet i samband med varuförmedling samt mäss- och utställningsverksamhet. Dessutom skall bolaget bedriva restaurang, café, glass och bensinmack.",1982-04-22,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556193-5304,I K Livs AB,I K Livs AB,47112,,47112,GNARP,82960,STATIONSVÄGEN 29,Bolaget skall bedriva detaljhandelsrörelse med dagligvaror inom ICA-verksamheten i Sverige och därmed förenlig verksamhet.,1976-11-04,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556230-7545,Bilia Center City AB,Bilia Center City AB,47811,,47811; 47820; 95311,DANDERYD,18211,BOX 32,"Bolaget ska bedriva import-, inköp och försäljning av kapital- varor främst bilar. Bedriva finans- och leasingverksamhet av främst bilar (dock med undantag för verksamhet som avses i lagen om kreditaktiebolag och lagen om bankrörelse), bedriva verkstadsrörelse, reservdels- och tillbehörsförsäljning inom motorbranschen, äga och förvalta fastigheter och därmed jämförlig verksamhet.",1983-07-26,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556233-2238,Brunngård Group AB,Brunngård Group AB,46420,,46420; 47721; 46160; 15200,BORÅS,50464,ELEMENTGATAN 10,"Bolaget skall bedriva handel och agentur inom sko- och skotillbehörsbranschen samt driva finansiell verksamhet, dock inte sådan verksamhet som avses i Bankrörelselagen eller lagen om kreditmarknadsbolag, handel med värdepapper och bedriva därmed förenlig verksamhet.",1983-10-19,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556229-2408,Foto-Dax Aktiebolag,Foto-Dax Aktiebolag,47782,,47782,VÄSTERÅS,72218,FREDSGATAN 10,Bolaget skall driva produktion och försäljning av fotografiskt framställda artiklar samt idka därmed förenlig verksamhet.,1983-05-26,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556057-6661,Sphinx Import & Export Aktiebolag,Sphinx Import & Export Aktiebolag,47552,,47552; 64994,MALMÖ,21619,GEIJERSGATAN 86,"Aktiebolaget ska bedriva handels med dentalprodukter och inredning, fastighetsförvaltning samt handel med värdepapper.",1953-01-21,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556057-1886,Givaudan North Europe AB,Givaudan North Europe AB,46390,,46390,MALMÖ,21532,HYLLIE VATTENPARKSGATA 12 C,Bolaget ska bedriva försäljning av arområvaror samt blandningar därav.,1952-09-29,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556055-4643,Yacht Equipment Stockholm Aktiebolag,Yacht Equipment Stockholm Aktiebolag,47633,,47633,LIDINGÖ,18157,TRYFFELSLINGAN 8,"Bolaget skall bedriva försäljning och tillverkning av båt- produkter och båttillbehör, äga och förvalta värdepapper samt därmed förenliga verksamheter. Bolaget skall även bedriva utbildning inom kreativa processer samt produktion av konst.",1951-05-02,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556057-7131,Sunnantech AB,Sunnantech AB,47523,,47523,SUNNANSJÖ,77012,VÄSTANSJÖVÄGEN 1,"Bolaget skall bedriva konsultverksamhet avseende utveckling, support och förvaltning av datorprogram och datorsystem samt därmed förenlig verksamhet. Vidare skall bolaget bedriva förvaltning av fastigheter för uthyrning av bostäder och affärslokaler samt därmed förenlig verksamhet.",1953-02-04,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556059-4730,Bröderna Bergström i Smedjebacken Aktiebolag,Bröderna Bergström i Smedjebacken Aktiebolag,47711,,47711,SMEDJEBACKEN,77730,RISGATAN 2,Bolaget skall bedriva handel inom herr- och damkonfektionsbranschen samt därmed förenlig verksamhet.,1954-05-05,active,,,http://www.brödernabergströms.se/,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/br%C3%B6derna+bergstr%C3%B6m+ab+eftr./smedjebacken/fakpviim | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,,xn--brdernabergstrms-nwbm.se,https://xn--brdernabergstrms-nwbm.se,browser,no,,,Attempted to use detached Frame '78D858F6C602CEEC65D92EF68B1F539B'. | method:browser
556066-2313,Emmaboda Möbler AB,Emmaboda Möbler AB,47551,,47551,EMMABODA,36121,BOX 55,Bolaget skall bedriva inköp och försäljning av möbler samt därmed förenlig verksamhet.,1958-02-10,active,,,https://www.emmabodamobler.se/,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/emmaboda-mobler-ab/emmaboda/hkqqzdelc | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment | hitta_orgnr:email_in_segment,info@emmabodamobler.se,,emmabodamobler.se,,,,,,
556094-2434,Znogg i Stockholm Aktiebolag,Znogg i Stockholm Aktiebolag,47552,,47552,STOCKHOLM,11131,ÖSTERLÅNGGATAN 24,Bolaget skall driva försäljning av presentartiklar ävensom idka därmed förenlig verksamhet.,1964-09-24,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556099-9228,Fergin Sverige AB,Fergin Sverige AB,46433,,46433,MOTALA,59161,DYNAMOVÄGEN 7 A,"Bolaget skall bedriva handels-, agentur-, och fabriksförsäljning inom branschen för elektrisk armatur och andra elektriska artiklar, tillverkning av plastprodukter samt idka därmed förenlig verksamhet.",1965-09-29,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556065-9608,Auktionsfirma C.J. Carlsson Ring i Uppsala Aktiebolag,Auktionsfirma C.J. Carlsson Ring i Uppsala Aktiebolag,47910,,47910,UPPSALA,75311,SKOLGATAN 6,Bolaget skall bedriva auktionsrörelse samt idka därmed förenlig verksamhet.,1957-12-20,active,,,,,not_found,,hitta_orgnr:hitta_search_failed:HTTP 404 for https://www.hitta.se/undefined/- | hitta_name:hitta_no_next_data,,,,,,,,,
556113-0302,Takeda Pharma AB,Takeda Pharma AB,46460,,46460,STOCKHOLM,11368,HAGAESPLANADEN 49,"Föremålet för bolagets verksamhet är att bedriva forsknings- och upplysningsverksamhet rörande läkemedel och pharmaceuptiska pro- dukter samt patentering, licensgivning, tillverkning och försälj- ning av sådana varor ävensom idka annan därmed förenlig verksam- het med rätt för bolaget att bedriva sin verksamhet genom del- ägarskap i andra företag.",1967-11-13,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556076-9969,Thorneus Radio & TV Aktiebolag,Thorneus Radio & TV Aktiebolag,47403,,47403,KIRUNA,98138,ÖSTERLEDEN 12,"Bolaget skall bedriva butikshandel med radio- och TV-apparater, övrig hemelektronik samt därmed förenlig verksamhet.",1961-02-03,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556134-0083,Elvisning Esplanaden AB,Elvisning Esplanaden AB,47552,,47552,SUNDBYBERG,17268,ESPLANADEN 14,Bolaget skall bedriva detaljhandel med elektriska artiklar och utföra elektriska installationer samt härmed förenlig verksamhet.,1970-03-16,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556147-4692,Tradepolymer i Västerås AB,Tradepolymer i Västerås AB,46860,,46860,VÄSTERÅS,72461,DJÄKNEBERGSGATAN 33,Bolaget skall bedriva försäljning av plastråvaror och halvfabrikat och därmed förenlig verksamhet.,1971-06-01,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556104-9080,Aktiebolaget Belle Shop,Aktiebolaget Belle Shop,47711,,47711,HELSINGBORG,25221,DROTTNINGGATAN 48  LGH 1502,Bolaget skall bedriva boutique och försäljning av presentartiklar.,1966-07-14,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
